type,name
@c.OFFER_TYPE.ALGO_MIX_TKXC,混合填空2
@c.OFFER_TYPE.ALGO_QUICK,快速填空
@c.OFFER_TYPE.ALGO_FILL_MORE_AREA,大面积填空
@c.OFFER_TYPE.CLEAR_BOARD,清屏plus
@c.OFFER_TYPE.SIMPLE_ZHIJUE,简单直觉题
@c.OFFER_TYPE.CLASSTERMINATE_CYCLE,终止刷分
@c.OFFER_TYPE.TERMINATE_REFRESH_SCORE_FIX,终止刷分
@c.OFFER_TYPE.INVALID_REMOVE_FIXED_GROUP,无效消除1
@c.OFFER_TYPE.INVALID_REMOVE_LOOP_OUT_BLOCK,无效消除2
@c.OFFER_TYPE.CHAPTERTERMINATE_CYCLE,终止刷分
@c.OFFER_TYPE.KUN_NAN_TI_HELP,死亡难题
@c.OFFER_TYPE.LINK_SMALL_BORDER_HELP,连续边数少难题
@c.OFFER_TYPE.ELIMINTE_PLEASURE,消除爽
@c.OFFER_TYPE.STAY_IN_BLANK_FILL,滞留清除填空
