_key,name,url,bundleName,platform
NewBestScoreEffect,NewBestScoreEffect,prefabs/encourage/new_best_score/NewBestScoreEffect,mainTraits,
GamePlayDianZan,GamePlayDianZan,prefabs/boardEffect/gamePlayDianzan/GamePlayDianZan,mainTraits,
GameInfoDisplay,GameInfoDisplay,prefabs/game/gameInfoDisplay/gameInfoDisplay,mainTraits,
BoardEffect,BoardEffect,prefabs/boardEffect/new_clear_effect/BoardEffect,mainTraits,
BGEffect,BGEffect,prefabs/boardEffect/new_clear_effect/BGEffect,mainTraits,
IsFirstHomeGuide,IsFirstHomeGuide,prefabs/modeChoice/IsFirstHomeGuideTrait/firstHomeGuidePrefab,mainTraits,
NewSeasonGuidance,NewSeasonGuidance,prefabs/modeChoice/NewSeasonGuidanceTrait/newSeasonGuidancePrefab,,
preEliComboRainbow,preEliComboRainbow,prefabs/preEliminate/comboRainbow/preEliComboRainbow,mainTraits,
preEliComboRainbowPerform,preEliComboRainbow,prefabs/preEliminate/comboRainbow/newArt/preEliComboRainbow,mainTraits,
preEliminatePrefab,preEliminatePrefab,prefabs/preEliminate/preEliminatePrefab,mainTraits,
preEliComboRainbowEffectNode,preEliComboRainbowEffectNode,prefabs/preEliminate/comboRainbow/preEliComboRainbowEffectNode,mainTraits,
preEliminateShowEndSkinRainbow,preEliminateShowEndSkinRainbow,prefabs/preEliminate/comboRainbow/preEliminateShowEndSkinRainbow,mainTraits,
preEliminateShowEndSkin2,preEliminateShowEndSkin2,prefabs/preEliminate/preEliminateShowEndSkin2,mainTraits,
EncourageMotivationalWords,EncourageMotivationalWords,prefabs/EncourageMotivationalWords,Remote_269,
AdventureOverdueBtnEff,AdventureOverdueBtnEff,prefabs/adventureOverdueBtnEff,Remote_AdventureOverdue,ios
AdventureOverdueChapterContent,AdventureOverdueChapterContent,prefabs/adventureOverdueChapterContent,Remote_AdventureOverdue,ios
AdventureOverdueChapterItem,AdventureOverdueChapterItem,prefabs/adventureOverdueChapterItem,Remote_AdventureOverdue,ios
FaqRedPointNew,FaqRedPointNew,prefabs/FaqRedPointNew,Remote_AddFaqFunc,
GLGameCommonTransition,GLGameCommonTransition,prefabs/mainMask,GLGameCommonTransitionTrait,
UserAgeSurvey,UserAgeSurvey,prefabs/UserAgeSurvey,UserAgeSurveyTrait,
