bundle,模块,常量,文件名,形状,长度,列数,有CSV
$5784_f_HistoryBoardOfferBlockTrait,$5784_f_HistoryBoardOfferBlockTrait,noUseStringsList,$5784_f_HistoryBoardOfferBlockTrait.noUseStringsList,数组,10,,
AchievementPushMixTrait,AchievementPushMixTrait,_savePushData,AchievementPushMixTrait._savePushData,字典,4,,
AdSubScribePopModelTrait,ScriptsAdSubscribePopModelConfig,AdSubScribePopPrefabConfig,ScriptsAdSubscribePopModelConfig.AdSubScribePopPrefabConfig,对象字典,4,5,是
BrandVisionDesignTrait,BrandVisionDesignTraitAudioConfig,BrandVisionDesignTraitAudioConfig,BrandVisionDesignTraitAudioConfig.BrandVisionDesignTraitAudioConfig,对象字典,6,5,是
ChapterSeasonSkinTrait,ChapterSeasonSkinTrait,ENDLESS_SEQUENCE_SKIN_IDS,ChapterSeasonSkinTrait.ENDLESS_SEQUENCE_SKIN_IDS,数组,39,,
ClassGuideConfigEnhanceTrait,ClassGuideConfigEnhanceValidate,DefaultSteps,ClassGuideConfigEnhanceValidate.DefaultSteps,对象数组,3,9,是
ClassLowClearScreenHelpTrait,ClassLowClearScreenHelpInfo,_strategyData,ClassLowClearScreenHelpInfo._strategyData,字典,7,,
ClassLowClearScreenHelpTrait,ClassLowClearScreenHelpInfo,_strategyData,ClassLowClearScreenHelpInfo._strategyData__2,字典,7,,
CleanComboChangeColorTrait,CleanComboChangeColorTrait,_skinCanChangeIdArr,CleanComboChangeColorTrait._skinCanChangeIdArr,数组,27,,
ClearScreenSkinTransitionTrait,ClearScreenSkinTransitionTrait,CONTAINERS_TO_CLONE,ClearScreenSkinTransitionTrait.CONTAINERS_TO_CLONE,对象数组,3,1,是
CommonGameListTrait,CommonGameListConsts,DEFAULT_GAME_CONFIG,CommonGameListConsts.DEFAULT_GAME_CONFIG,对象字典,12,3,是
CommonGameListTrait,CommonGameListConsts,DEFAULT_SAND_BUNDLE_VERSION_DEBUG,CommonGameListConsts.DEFAULT_SAND_BUNDLE_VERSION_DEBUG,字典,7,,
CommonGameListTrait,CommonGameListConsts,DEFAULT_SAND_BUNDLE_VERSION_RELEASE,CommonGameListConsts.DEFAULT_SAND_BUNDLE_VERSION_RELEASE,字典,7,,
DeleteContinuePercentLowSkinsTrait,IDeleteContinuePercentLowSkins,DeleteSkinIds,IDeleteContinuePercentLowSkins.DeleteSkinIds,数组,10,,
DualColorSkinSelectorTrait,DualColorSkinSelectorTrait,_guideDefaultFaceBlocks,DualColorSkinSelectorTrait._guideDefaultFaceBlocks,数组,8,,
FirstEightGamesFixedBoardTrait,FirstEightGamesConfig,FirstEightGamesConfig,FirstEightGamesConfig.FirstEightGamesConfig,对象数组,8,4,是
GameWinShowTarotWordTrait,GameWinShowTarotWordTrait,tarotWordList,GameWinShowTarotWordTrait.tarotWordList,数组,22,,
IsOpenChangeSkinByColorPoolTrait,IsOpenChangeSkinByColorPoolTrait,COLOR_POOL,IsOpenChangeSkinByColorPoolTrait.COLOR_POOL,对象数组,6,2,是
IsOpenClassMusicBlockTrait,MusicBlockConfig,MusicBlockConfig,MusicBlockConfig.MusicBlockConfig,对象字典,22,5,是
IsOpenClassNewUserDefaultBoardTrait,IsOpenClassNewUserDefaultBoardTrait,BOARD_LIST,IsOpenClassNewUserDefaultBoardTrait.BOARD_LIST,数组,187,,
IsOpenEstablishCollectTargetsTrait,IsOpenEstablishCollectTargetsTrait,COLLECT_TARGETS,IsOpenEstablishCollectTargetsTrait.COLLECT_TARGETS,对象数组,7,2,是
IsOpenFirstDayReplayGuideBoardTrait,IsOpenFirstDayReplayGuideBoardTrait,INIT_BOARD,IsOpenFirstDayReplayGuideBoardTrait.INIT_BOARD,数组,8,,
JAEJ_11555_lowEndDevice_initialBoardTrait,JAEJ_11555_lowEndDevice_initialBoardTrait,specifyBoardId,JAEJ_11555_lowEndDevice_initialBoardTrait.specifyBoardId,数组,223,,
LikeEffectOptimizationTrait,LikeEffectOptimizationTrait,colorName,LikeEffectOptimizationTrait.colorName,数组,9,,
NewUserBoardDiffTrait,NewUserBoardDiffAnimConfig,NEW_USER_BOARD_DIFF_INIT_BOARD_ANIM_CONFIG,NewUserBoardDiffAnimConfig.NEW_USER_BOARD_DIFF_INIT_BOARD_ANIM_CONFIG,字典,4,,
NewUserBoardDiffTrait,NewUserBoardDiffConfig,NewUserBoardDiffConfig,NewUserBoardDiffConfig.NewUserBoardDiffConfig,对象数组,164,7,是
NewUserBoardDiffTrait,NewUserBoardDiffWeightsConfig,BOARD_WEIGHTS,NewUserBoardDiffWeightsConfig.BOARD_WEIGHTS,数组,2000,,
