bundle,枚举名,种类,成员数,重复值数
$28510_f_TravelPassTipsTrait,PASS_STATE,数字,4,0
ClassGameEndEncourageTrait,ClassGameOverEncourageType,数字,3,0
ComboBorderEffectTrait,BorderEffectType,数字,3,0
CommonGameEntrance1Trait,CommonGameDefine,数字,1,0
CommonGameEntrance1Trait,EntryState,数字,1,0
CommonGameListTrait,CommonGameListTypes,数字,12,6
CommonGameListTrait,DownloadState,数字,4,0
CommonGameListTrait,DownloadTrigger,数字,2,0
CommonGameListTrait,EntryState,数字,1,0
CommonGameListTrait,FilterType,字符串,6,0
CommonGameListTrait,GameType,数字,5,0
CommonGameListTrait,SortType,字符串,7,0
DownloadCancelTrait,DownloadStatus,字符串,4,0
GameOverShowMiniGameIconTrait,GameOverShowMiniGameIconMiniGameType,字符串,4,0
IsOpenResultClickEffectTrait,ClickEffectDSEmoji,数字,12,0
IsOpenResultClickEffectTrait,ClickEffectDSType,数字,6,0
MoreStepGuideTrait,MoreStepGuidePage,数字,10,0
SkinColorRelatedToClearScreenBlockTrait,SkinColorScheme,数字,7,0
SkinUGCTrait,EditStyle,数字,3,0
WinStreakEffectAdjustTrait,WinStreakStage,数字,3,0
chapter,CHAPTER_DIFF_TYPE,数字,6,0
chapter,ChapterAlgorithmProcessType,字符串,10,0
chapter,ChapterAlgorithmStrategyRunStateType,数字,3,0
chapter,ChapterAnimationEnu,数字,2,0
chapter,ChapterEliminateGameplayAniTypes,字符串,5,0
chapter,ChapterGameOverType,数字,4,0
chapter,DoubleGemstoneFitterTypeEnums,数字,2,0
chapter,DoubleGemstoneRandomTypeEnums,数字,2,0
chapter,SkinThreeChapterAssetKey,字符串,63,0
chapter,SkinThreeChapterGemVariant,字符串,4,0
class,ClassAlgorithmStrategyDealProxyName,字符串,6,0
class,ClassAlgorithmStrategyLaneSchemeType,数字,7,0
class,ClassAlgorithmStrategyRunStateType,数字,3,0
class,ClassDefautBoardConfigType,字符串,3,0
class,ClassFailBgReplaceType,字符串,3,0
class,ClassGameOverType,数字,3,0
class,CurStatus,字符串,3,0
class,DEFAULT_BOARD_INDEX,数字,5,0
class,DEFAULT_SOURCE_TYPE,数字,2,0
class,DataCollectJudgeCheatScoreFieldsType,字符串,51,0
class,DynamicBitOper,数字,10,0
class,Hard100Status,数字,3,0
class,IsPuzzleTimeStatus,数字,3,0
class,PeakDistributionAlgorithm,字符串,7,0
class,PuzzleName,字符串,25,0
class,RemoveEffectAnimationColorENUMS,字符串,8,0
class,ScoreBlockEffectAnimation,字符串,8,0
class,SymType,数字,3,0
class,Weight,数字,5,0
gl_fruit,FruitEventType,字符串,5,0
gl_fruit,FruitFeat,字符串,30,0
gl_hall,AdType,字符串,3,0
gl_hall,ButtonActionInternal,数字,1,0
gl_hall,ButtonEffectStyle,数字,2,0
gl_hall,ButtonStyle,字符串,3,0
gl_hall,Const,数字,2,0
gl_hall,EventSource,数字,2,0
gl_hall,EventType,数字,7,0
gl_hall,ExitGameType,数字,2,0
gl_hall,Game,数字,9,1
gl_hall,GameEventType,字符串,9,0
gl_hall,Icon,数字,6,0
