bundle,资产路径,类型,形状,行数,列数,有CSV
$5784_f_HistoryBoardOfferBlockTrait,config/boardBlock,cc.JsonAsset,对象数组,10000,3,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1000,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1001,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1002,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1003,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1004,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1005,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1006,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1007,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1008,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1009,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1010,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1011,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1012,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1013,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1014,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1015,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1016,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1017,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1018,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1019,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1020,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1021,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1022,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1023,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1024,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1025,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1026,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1027,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1028,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1029,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1030,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1031,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1032,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1033,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1034,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1035,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1036,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1037,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1038,cc.JsonAsset,对象字典,7,6,是
ChapterCollectPreClearEffectTrait,configs/chapterCollectPreClear_skin_1039,cc.JsonAsset,对象字典,7,6,是
ClassGameEndEncourageTrait,configs/high_score_messages,cc.JsonAsset,字典,3,,
DownloadCancelTrait,scripts/jsb.d,cc.TextAsset,文本,,,
IsOpen5RemoveSurfaceCtrTrait,config/FiveRemoveInitBoardConfig,cc.JsonAsset,对象数组,459,2,是
SkinUGCTrait,config/ugc_color_template,cc.JsonAsset,对象字典,51,13,是
SkinUGCTrait,config/ugc_colors,cc.JsonAsset,对象数组,120,3,是
SwitchingSkinNameMotivationalWordTrait,README,cc.TextAsset,文本,,,
SwitchingSkinNameMotivationalWordTrait,json/skinEncourage,cc.JsonAsset,字典,40,,
chapter,README,cc.TextAsset,文本,,,
chapter,scripts/modules/algorithmStrategy/data/round,cc.JsonAsset,对象数组,96,2,是
class,README,cc.TextAsset,文本,,,
class,scripts/modules/defaultBoard/data/chapter,cc.JsonAsset,数组,400,,
class,scripts/modules/defaultBoard/data/default2000,cc.JsonAsset,字典,1,,
class,scripts/modules/defaultBoard/data/defaultinfo2,cc.JsonAsset,字典,6,,
class,scripts/modules/defaultBoard/data/defaultinfoarr,cc.JsonAsset,数组,60,,
gl_fruit,assets/configs/tbfruitconfig,cc.JsonAsset,对象数组,12,5,是
