成员,值
ChapterBlockShadow,chapter_block_shadow
ChapterBoardBg,chapter_board_bg
ChapterCollectEndItemEffectSpine,chapter_collect_end_item_effect_spine
ChapterCollectFailBg,chapter_collect_fail_bg
ChapterCollectFailBg1,chapter_collect_fail_bg1
ChapterCollectFailCollectImg,chapter_collect_fail_collect_img
ChapterCollectFailPlayBtn,chapter_collect_fail_play_btn
ChapterCollectTopItemFinishSpine,chapter_collect_top_item_finish_spine
ChapterCollectTopItemNumFont,chapter_collect_top_item_num_font
ChapterCollectWinBg,chapter_collect_win_bg
ChapterCollectWinBg1,chapter_collect_win_bg1
ChapterCollectWinCollectImg,chapter_collect_win_collect_img
ChapterCollectWinEffectSpine,chapter_collect_win_effect_spine
ChapterCollectWinPlayBtnContinue,chapter_collect_win_play_btn_continue
ChapterCollectWinPlayBtnHard,chapter_collect_win_play_btn_hard
ChapterCollectWinPlayBtnNext,chapter_collect_win_play_btn_next
ChapterComboEffect,chapter_combo_effect
ChapterComboFont,chapter_combo_font
ChapterComboSpine,chapter_combo_spine
ChapterComboSpineFont,chapter_combo_spine_font
ChapterComboSpineSprite,chapter_combo_spine_sprite
ChapterComboSprite,chapter_combo_sprite
ChapterEncourageEffect,chapter_encourage_effect
ChapterEncourageSpineEffect,chapter_encourage_spine_effect
ChapterGameBackBtn,chapter_game_back_btn
ChapterGameBg,chapter_game_bg
ChapterGoalBg,chapter_goal_bg
ChapterGoalCollectWayTitle,chapter_goal_collect_way_title
ChapterGoalMask,chapter_goal_mask
ChapterGoalScoreGoalScoreBg,chapter_goal_score_goal_score_bg
ChapterGoalScoreGoalScoreLbFont,chapter_goal_score_goal_score_lb_font
ChapterGoalScoreWayTitle,chapter_goal_score_way_title
ChapterReviveRoundBg,chapter_revive_round_bg
ChapterReviveRoundProgress,chapter_revive_round_progress
ChapterReviveSpineCountdown,chapter_revive_spine_countdown
ChapterScoreFailBg,chapter_score_fail_bg
ChapterScoreFailBg1,chapter_score_fail_bg1
ChapterScoreFailCurNumFont,chapter_score_fail_cur_num_font
ChapterScoreFailEffectSpine,chapter_score_fail_effect_spine
ChapterScoreFailGoalNumFont,chapter_score_fail_goal_num_font
ChapterScoreFailMask,chapter_score_fail_mask
ChapterScoreFailPlayBtn,chapter_score_fail_play_btn
ChapterScoreFailProgressBg,chapter_score_fail_progress_bg
ChapterScoreFailProgressImg,chapter_score_fail_progress_img
ChapterScoreFailScoreBg,chapter_score_fail_score_bg
ChapterScoreFailScoreImg,chapter_score_fail_score_img
ChapterScoreWinBg,chapter_score_win_bg
ChapterScoreWinBg1,chapter_score_win_bg1
ChapterScoreWinPlayBtnContinue,chapter_score_win_play_btn_continue
ChapterScoreWinPlayBtnHard,chapter_score_win_play_btn_hard
ChapterScoreWinPlayBtnNext,chapter_score_win_play_btn_next
ChapterScoreWinScoreEffectFont,chapter_score_win_score_effect_font
ChapterScoreWinScoreFont,chapter_score_win_score_font
ChapterScoreWinScoreImg,chapter_score_win_score_img
ChapterScoreWinSpineEffect,chapter_score_win_spine_effect
ChapterScoreWinWellDoneScoreFont,chapter_score_win_welldone_score_font
ChapterSetupBtn,chapter_setup_btn
ChapterTopInfoScoreCurScoreBg,chapter_top_info_score_cur_score_bg
ChapterTopInfoScoreCurScoreLabFont,chapter_top_info_score_cur_score_lab_font
ChapterTopInfoScoreMask,chapter_top_info_score_mask
ChapterTopInfoScoreProgressBg,chapter_top_info_score_progress_bg
ChapterTopInfoScoreProgressImg,chapter_top_info_score_progress_img
ChapterTopInfoScoreTargetLabFont,chapter_top_info_score_target_lab_font
