成员,值
AVG_30_50_BLAST_ROW_COL_CNT,avg_30_50_blast_row_col_cnt
AVG_30_50_GAIN_SCORE_PER_DONE,avg_30_50_gain_score_per_done
AVG_30_50_IS_COMBO_STATUS_CNT,avg_30_50_is_combo_status_cnt
AVG_30_50_MATRIX_COMPLEX_VALUE,avg_30_50_matrix_complex_value
AVG_30_50_TIME_DIFF_IN_SECONDS,avg_30_50_time_diff_in_seconds
AVG_30_BLAST_ROW_COL_CNT,avg_30_blast_row_col_cnt
AVG_30_GAIN_SCORE_PER_DONE,avg_30_gain_score_per_done
AVG_30_IS_COMBO_STATUS_CNT,avg_30_is_combo_status_cnt
AVG_30_MATRIX_COMPLEX_VALUE,avg_30_matrix_complex_value
AVG_30_TIME_DIFF_IN_SECONDS,avg_30_time_diff_in_seconds
AVG_50_80_BLAST_ROW_COL_CNT,avg_50_80_blast_row_col_cnt
AVG_50_80_GAIN_SCORE_PER_DONE,avg_50_80_gain_score_per_done
AVG_50_80_IS_COMBO_STATUS_CNT,avg_50_80_is_combo_status_cnt
AVG_50_80_MATRIX_COMPLEX_VALUE,avg_50_80_matrix_complex_value
AVG_50_80_TIME_DIFF_IN_SECONDS,avg_50_80_time_diff_in_seconds
AVG_BLAST_3_MORE,avg_blast_3_more
AVG_GAIN_SCORE_PER_DONE,avg_gain_score_per_done
AVG_GAME_COMBO_STEP_CNT,avg_game_combo_step_cnt
AVG_MATRIX_COMPLEX_VALUE,avg_matrix_complex_value
AVG_TIME_DIFF_IN_SECONDS,avg_time_diff_in_seconds
CLEAR_SCREEN_CNT,clear_screen_cnt
COMBO_CNT,combo_cnt
GAME_COMBO_BLOCK_STEP_CNT_RATE,game_combo_block_step_cnt_rate
GAME_COMBO_CNT,game_combo_cnt
GAME_COMBO_STEP_CNT_RATE,game_combo_step_cnt_rate
MAX_30_50_GAIN_SCORE_PER_DONE,max_30_50_gain_score_per_done
MAX_30_GAIN_SCORE_PER_DONE,max_30_gain_score_per_done
MAX_50_80_GAIN_SCORE_PER_DONE,max_50_80_gain_score_per_done
MAX_BLAST_ROW_COL_CNT,max_blast_row_col_cnt
MAX_COMBO,max_combo
MAX_GAIN_SCORE_PER_DONE,max_gain_score_per_done
MAX_MATRIX_COMPLEX_VALUE,max_matrix_complex_value
MAX_TIME_DIFF_IN_SECONDS,max_time_diff_in_seconds
MIN_TIME_DIFF_IN_SECONDS,min_time_diff_in_seconds
STDDEV_30_50_BLAST_ROW_COL_CNT,stddev_30_50_blast_row_col_cnt
STDDEV_30_50_GAIN_SCORE_PER_DONE,stddev_30_50_gain_score_per_done
STDDEV_30_50_IS_COMBO_STATUS_CNT,stddev_30_50_is_combo_status_cnt
STDDEV_30_50_MATRIX_COMPLEX_VALUE,stddev_30_50_matrix_complex_value
STDDEV_30_50_TIME_DIFF_IN_SECONDS,stddev_30_50_time_diff_in_seconds
STDDEV_30_BLAST_ROW_COL_CNT,stddev_30_blast_row_col_cnt
STDDEV_30_GAIN_SCORE_PER_DONE,stddev_30_gain_score_per_done
STDDEV_30_IS_COMBO_STATUS_CNT,stddev_30_is_combo_status_cnt
STDDEV_30_MATRIX_COMPLEX_VALUE,stddev_30_matrix_complex_value
STDDEV_30_TIME_DIFF_IN_SECONDS,stddev_30_time_diff_in_seconds
STDDEV_50_80_BLAST_ROW_COL_CNT,stddev_50_80_blast_row_col_cnt
STDDEV_50_80_GAIN_SCORE_PER_DONE,stddev_50_80_gain_score_per_done
STDDEV_50_80_IS_COMBO_STATUS_CNT,stddev_50_80_is_combo_status_cnt
STDDEV_50_80_MATRIX_COMPLEX_VALUE,stddev_50_80_matrix_complex_value
STDDEV_50_80_TIME_DIFF_IN_SECONDS,stddev_50_80_time_diff_in_seconds
STDDEV_TIME_DIFF_IN_SECONDS,stddev_time_diff_in_seconds
SUM_TIME_DIFF_IN_SECONDS,sum_time_diff_in_seconds
