成员,值
FruitAcceleratePreviousDrop,FruitAcceleratePreviousDrop
FruitBigFruitMergeShake,FruitBigFruitMergeShake
FruitComboSmallFruitExplode,FruitComboSmallFruitExplode
FruitDeadEndShakePopup,FruitDeadEndShakePopup
FruitDeathReviveShake,FruitDeathReviveShake
FruitDisableClickDropSound,FruitDisableClickDropSound
FruitEarlyDropSpeedBoost,FruitEarlyDropSpeedBoost
FruitEnhancedCollisionBounce,FruitEnhancedCollisionBounce
FruitFailOnAnyOutBound,FruitFailOnAnyOutBound
FruitFullScreenAcc,FruitFullScreenAcc
FruitGongzheng,FruitGongzheng
FruitGuideKeepFirstFruit,FruitGuideKeepFirstFruit
FruitHideBottomFruit,FruitHideBottomFruit
FruitLongPressAcc,FruitLongPressAcc
FruitLongPressCancelDrop,FruitLongPressCancelDrop
FruitLongPressQuickStack,FruitLongPressQuickStack
FruitMergeDistanceRelaxed,FruitMergeDistanceRelaxed
FruitNewComboEffect,FruitNewComboEffect
FruitNoDropInterval,FruitNoDropInterval
FruitPreviewPlace,FruitPreviewPlace
FruitRelaxedComboBreak,FruitRelaxedComboBreak
FruitSameFruitTips,FruitSameFruitTips
FruitShadowTips,FruitShadowTips
FruitShakeRandomDirection,FruitShakeRandomDirection
FruitSmallToBigReplacement,FruitSmallToBigReplacement
FruitSpecialColliderRule,FruitSpecialColliderRule
FruitUsePropNoDie,FruitUsePropNoDie
GLFruitDeadCheckOptimize,GLFruitDeadCheckOptimize
GLFruitHaveFruitStart,GLFruitHaveFruitStart
GLFruitTwoFruitOnce,GLFruitTwoFruitOnce
