成员,值
AvoidIncorrectHandle,AvoidIncorrectHandle
GLBFBackDirectExit,GLBFBackDirectExit
GLBFBackNum,GLBFBackNum
GLBFCrownTipsHelp,GLBFCrownTipsHelp
GLBFCrownTipsHelpReplay,GLBFCrownTipsHelpReplay
GLBFCrownTipsHelpWinStreak,GLBFCrownTipsHelpWinStreak
GLBFDeadBackView,GLBFDeadBackView
GLBFDeadRoadSound,GLBFDeadRoadSound
GLBFDieReplace,GLBFDieReplace
GLBFDieReplay,GLBFDieReplay
GLBFLineTipsView,GLBFLineTipsView
GLBFMiddleTipsView,GLBFMiddleTipsView
GLBFNumberView,GLBFNumberView
GLBFPassLevelFlashEffect,GLBFPassLevelFlashEffect
GLBFProgress,GLBFProgress
GLBFProgressSound,GLBFProgressSound
GLBFPropAutoUseAfterAd,GLBFPropAutoUseAfterAd
GLBFResetOnReenter,GLBFResetOnReenter
GLBFTishiView,GLBFTishiView
GLBFWhiteWrap,GLBFWhiteWrap
