成员,值
amazing_blue,amazing_blue
amazing_darkblue,amazing_darkblue
amazing_green,amazing_green
amazing_orange,amazing_orange
amazing_purple,amazing_purple
amazing_red,amazing_red
amazing_yellow,amazing_yellow
excellect_blue,excellect_blue
excellect_darkblue,excellect_darkblue
excellect_green,excellect_green
excellect_orange,excellect_orange
excellect_purple,excellect_purple
excellect_red,excellect_red
excellect_yellow,excellect_yellow
good_blue,good_blue
good_darkblue,good_darkblue
good_green,good_green
good_orange,good_orange
good_purple,good_purple
good_red,good_red
good_yellow,good_yellow
great_blue,great_blue
great_darkblue,great_darkblue
great_green,great_green
great_orange,great_orange
great_purple,great_purple
great_red,great_red
great_yellow,great_yellow
unbelievable_blue,unbelievable_blue
unbelievable_darkblue,unbelievable_darkblue
unbelievable_green,unbelievable_green
unbelievable_orange,unbelievable_orange
unbelievable_purple,unbelievable_purple
unbelievable_red,unbelievable_red
unbelievable_yellow,unbelievable_yellow
