成员,值
MINIGAME_FEATURE_ISOPEN,IsFeatureOpen
MINIGAME_ALL_SILENT_DOWNLOAD_SUCCESS,all_moregame_download_success
MINIGAME_EVENT,gameLobby_Event
MINIGAME_AD,gameLobby_ad
MINIGAME_FEATURE_CONFIG,gameLobby_featureConfig
MINIGAME_RES_LOADER,gameLobby_resLoader
MINIGAME_SUBMIT,gameLobby_submit
MINIGAME_FEATURE_GETKEYPARAM,getFeatureKeyParam
MINIGAME_FEATURE_GETFEATUREVALUE,getFeatureValue
MINIGAME_EVENTTYPE_HIDEBANNER,hideBanner
MINIGAME_LOAD_COMPOLETE,minigame_loadCompolete
MINIGAME_LOAD_ERROR,minigame_loadError
MINIGAME_PRELOAD,minigame_preLoad
MINIGAME_PROGRESS,minigame_progress
MINIGAME_MORE_GAME_CLICK,more_game_click
MINIGAME_GAME_DOWNLOAD_SUCCESS,moregame_game_download_success
MINIGAME_HALL_SILENT_DOWNLOAD_REQUEST,moregame_hall_silent_download_request
MINIGAME_HALL_SILENT_DOWNLOAD_SUCCESS,moregame_hall_silent_download_success
MINIGAME_RES_LOADER_LOAD_BUNDLE,moregame_res_loader_load_bundle
MINIGAME_EVENTTYPE_SHOWBANNER,showBanner
MINIGAME_EVENTTYPE_SHOWINSERTAD,showInsertAd
MINIGAME_EVENTTYPE_SHOWREWARDSAD,showRewardsAd
