成员,值
AdNativeAdCallback,AdService.NativeAdCallback
AdNativeAdCallback2,AdService.NativeAdCallback2
AdNativeCutCallback,AdService.NativeCutCallback
AdNativeGetFirstAdEcpm,AdService.NativeGetFirstAdEcpm
AdNativeOnAdIncome,AdService.NativeOnAdIncome
AdNativeRewardCallback,AdService.NativeRewardCallback
GameEnd,GameToExternalEvent.GameEnd
GameExit,GameToExternalEvent.GameExit
GameFail,GameToExternalEvent.GameFail
GameInit,GameToExternalEvent.GameInit
GameNext,GameToExternalEvent.GameNext
GamePause,GameToExternalEvent.GamePause
GameReady,GameToExternalEvent.GameReady
GameRestart,GameToExternalEvent.GameRestart
GameResult,GameToExternalEvent.GameResult
GameResume,GameToExternalEvent.GameResume
GameStart,GameToExternalEvent.GameStart
GameWin,GameToExternalEvent.GameWin
OpenLobbySetting,GameToExternalEvent.OpenLobbySetting
PlayBaseAppAudio,GameToExternalEvent.PlayBaseAppAudio
PlayerAction,GameToExternalEvent.PlayerAction
ShowBaseAppCommonTips,GameToExternalEvent.ShowBaseAppCommonTips
UpdateGameOutputData,GameToExternalEvent.UpdateGameOutputData
Vibrate,GameToExternalEvent.Vibrate
