成员,值
FillClear,1000
EntropyAdd3,1001
PuzzleHard,1002
RandomTravel,1003
PuzzleIntuition,1004
RandomNoDead,1005
FillClearTarget,1006
EntropyAdd3Random,1007
PuzzleEasy,1008
EntropyAdd1,1009
SimpleDeath,1010
RandomScore,1011
Death,1012
PuzzleMoreHard,1013
PuzzleAdd3Hard,1014
PuzzleLifeWayHard,1015
Revive,1999
FillClearO,2000
EntropyAdd3O,2001
PuzzleHardO,2002
RandomTravelO,2003
PuzzleIntuitionO,2004
RandomNoDeadO,2005
FillClearTargetO,2006
DifficultyRandom,2006
OldRandomNoDead,2007
PuzzleEasyO,2008
