成员,值
SI_WANG,3
ZHI_SI_TI,9
ALL_CAN_PUT_DIE,5001
MIDDLE_BLOCK_DEATH,5002
DEADLY_HARD,5003
BEAUTIFUL_DUI_SI,5004
FULL_BOARD_DEATH,5005
ALGO_HABIT_SHANGZENG,12031
ALGO_HABIT_DIFFICULTY,16049
ALGO_RANDOM_NO_DIE_HELP,17016
HIGH_SCORE_DEATH,19002
ALGO_MANY_CLEAR_DEATH,19004
UNCONSCIOUS_DIE,19005
TIME_DUI_SI_TI,19007
ALGO_UNOBVIOUS_DEATH,19008
ALGO_INSTINCT_DEATH,19009
ALGO_MUST_DEATH_EX,24003
ALGO_PEACEFUL_DEATH,24004
ALGO_MUST_DEATH_INDUCE,24006
ALGO_MUST_DEATH_MAX_AREA,24007
ALGO_BOARD_FULL_HARD,29030
ORDER_SURFACE_LOWER_LEVEL,291014
ALGO_BREAK_DIE_BLOCK,291067
ALGO_EASY_DIE_BLOCKS,291090
ALGO_LOWER_SCORE_DIE,291091
