成员,值
FillRecordData,AtomEvent.FillRecordData
GameDispose,ServiceEvent.GameDispose
GameEnd,ServiceEvent.GameEnd
GameExit,ServiceEvent.GameExit
GameFail,ServiceEvent.GameFail
GameInit,ServiceEvent.GameInit
GameNext,ServiceEvent.GameNext
GamePause,ServiceEvent.GamePause
GameReady,ServiceEvent.GameReady
GameRestart,ServiceEvent.GameRestart
GameResult,ServiceEvent.GameResult
GameResume,ServiceEvent.GameResume
GameStart,ServiceEvent.GameStart
GameWin,ServiceEvent.GameWin
GetData,ServiceEvent.GetData
GetDataBack,ServiceEvent.GetDataBack
OpenLobbySetting,ServiceEvent.OpenLobbySetting
PlayAudio,ServiceEvent.PlayAudio
PlayerAction,ServiceEvent.PlayerAction
ProduceBlockEnd,ServiceEvent.ProduceBlockEnd
ProduceBlockRevive,ServiceEvent.ProduceBlockRevive
ProduceBlockStart,ServiceEvent.ProduceBlockStart
RenderCreated,ServiceEvent.RenderCreated
RenderCreatedFailed,ServiceEvent.RenderCreatedFailed
RenderRestore,ServiceEvent.RenderRestore
ReportData,ServiceEvent.ReportData
SaveData,ServiceEvent.SaveData
SnapshotRestoreRenderDone,ServiceEvent.SnapshotRestoreRenderDone
SoundSetting,ServiceEvent.SoundSetting
StopAudio,ServiceEvent.StopAudio
UpdateExternalInputData,ServiceEvent.UpdateExternalInputData
Vibrate,ServiceEvent.Vibrate
