成员,值
AchievementDetailAwardIconSpine,achievement_detail_award_icon_spine
AchievementDetailAwardTimeBg,achievement_detail_award_time_bg
AchievementDetailAwardTimeFont,achievement_detail_award_time_font
AchievementDetailCloseBtn,achievement_detail_close_btn
AchievementDetailConfirmBtn,achievement_detail_confirm_btn
AchievementDetailConfirmTxt,achievement_detail_confirm_txt
AchievementDetailContentBg,achievement_detail_content_bg
AchievementDetailDescFont,achievement_detail_desc_font
AchievementDetailMaskBg,achievement_detail_mask_bg
AchievementDetailTitle,achievement_detail_title
AchievementEntranceSpine,achievement_entrance_spine
AchievementMainAwardsBg,achievement_main_awards_bg
AchievementMainAwardsTitle,achievement_main_awards_title
AchievementMainBg,achievement_main_bg
AchievementMainStatisticsTitle,achievement_main_statistics_title
AchievementMainTitle,achievement_main_title
AchievementMainTitleBg,achievement_main_title_bg
AchievementStatisticsItemBg,achievement_statistics_item_bg
AchievementStatisticsItemNameFont,achievement_statistics_item_name_font
AchievementStatisticsItemNumFont,achievement_statistics_item_num_font
ChapterContentCup,chapter_content_cup
ChapterContentCupTipImg,chapter_content_cup_tip_img
ChapterItemBg,chapter_item_bg
ChapterLevelTxtFont,chapter_level_txt_font
ChapterListBottomBg,chapter_list_bottom_bg
ChapterListBottomStartGameBtn,chapter_list_bottom_start_game_btn
ChapterListChapterLbFont,chapter_list_chapter_lb_font
ChapterListContinueBtn,chapter_list_continue_btn
ChapterListRootBg,chapter_list_root_bg
ChapterListTopBackBtn,chapter_list_top_back_btn
ChapterListTopBg,chapter_list_top_bg
ChapterListTopTitleImg,chapter_list_top_title_img
ChapterThroughCupBoneSpine,chapter_through_cup_bone_spine
HomePageBackground,home_page_background
HomePageChapterBtn,home_page_chapter_btn
HomePageChapterClockBtn,home_page_chapter_clock_btn
HomePageClassBtn,home_page_class_btn
HomePageIconRedPoint,home_page_icon_redpoint
HomePageLogo,home_page_logo
HomePageMoreGamesBtn,home_page_more_games_btn
TravelEntryClockShadowMainBtnIconTime,travel_entry_clock_shadow_main_btn_icon_time
TravelEntryClockShadowMainTimeHour,travel_entry_clock_shadow_main_time_hour
TravelEntryClockShadowMainTimeHourLight,travel_entry_clock_shadow_main_time_hour_light
TravelEntryClockShadowMainTimeHourShadow,travel_entry_clock_shadow_main_time_hour_shadow
TravelEntryClockShadowMainTimeMinLeft,travel_entry_clock_shadow_main_time_min_left
TravelEntryClockShadowMainTimeMinLeftShadow,travel_entry_clock_shadow_main_time_min_left_shadow
TravelEntryClockShadowMainTimeMinLight,travel_entry_clock_shadow_main_time_min_light
