成员,值
AllRandom81,AllRandom81
SkinThree14Mats,SkinThree14Mats
SkinThree18MatMixed,SkinThree18MatMixed
SkinThree18MatSeq,SkinThree18MatSeq
SkinThree18MaterialsLoop,SkinThree18MaterialsLoop
SkinThree24ColorSeq,SkinThree24ColorSeq
SkinThree24ColorsMixed,SkinThree24ColorsMixed
SkinThree26Mats,SkinThree26Mats
SkinThree26Mats18Selected,SkinThree26Mats18Selected
SkinThree26Mats5Selected,SkinThree26Mats5Selected
SkinThree26Random,SkinThree26Random
SkinThree5New,SkinThree5New
SkinThree5Old,SkinThree5Old
SkinThreeColorMatMix,SkinThreeColorMatMix
SkinThreeMix39And26Mats,SkinThreeMix39And26Mats
SkinThreeMix39And5New,SkinThreeMix39And5New
SkinThreeMix39And5Old,SkinThreeMix39And5Old
SkinThreeMix53And5New,SkinThreeMix53And5New
SkinThreeMix53And5Old,SkinThreeMix53And5Old
SkinThreeMix89_1,SkinThreeMix89_1
SkinThreeMix89_2,SkinThreeMix89_2
SkinThreeMix89_3,SkinThreeMix89_3
SkinThreeMix89_4,SkinThreeMix89_4
SkinThreeMix89_5,SkinThreeMix89_5
SkinThreeMix89_6,SkinThreeMix89_6
SkinThreeMix89_7,SkinThreeMix89_7
SkinThreeRandom5New,SkinThreeRandom5New
SkinThreeRandom5Old,SkinThreeRandom5Old
SkinThreeRandom65,SkinThreeRandom65
SkinThreeRandom89,SkinThreeRandom89
