matrix,block_list
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 2, 2, 2, 3], [-1, -1, 7, 1, 2, 3, 3, 3], [-1, 3, 7, 1, 2, 5, 5, 5], [-1, 3, 7, 7, 7, 5, 5, 5], [-1, 3, 3, 3, 3, 5, 5, 5], [-1, 3, 3, 3, 3, 5, 5, 5], [-1, 3, 3, 3, 3, 5, 5, 5]]","[13, 37, 38]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1]]","[11, 22, 5]"
"[[1, 1, 1, 4, 4, 4, -1, -1], [3, 1, 3, 4, 4, 6, -1, 3], [-1, 4, 3, 3, 6, 6, -1, 4], [-1, -1, 4, 3, 3, 2, -1, 2], [3, -1, -1, -1, -1, -1, -1, 4], [3, -1, 2, 2, 4, -1, -1, -1], [3, 2, 2, 2, 2, 4, -1, -1], [-1, 3, 3, 2, 2, 2, 3, 3]]","[20, 30, 9]"
"[[-1, -1, 1, 1, -1, -1, -1, 1], [-1, -1, -1, -1, 1, 1, 1, -1], [1, -1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, -1]]","[11, 29, 34]"
"[[1, -1, -1, -1, -1, 1, -1, -1], [5, 1, -1, 1, 1, 2, -1, -1], [-1, 5, -1, 1, 2, -1, -1, -1], [1, 2, -1, 2, 2, 5, 5, 5], [1, 2, -1, 2, 2, 5, 5, 5], [5, 2, -1, 1, 2, 2, 5, 5], [5, 5, -1, 2, 2, 5, 5, 5], [1, 5, -1, 2, 2, 2, 5, 5]]","[21, 22, 36]"
"[[1, 1, 1, -1, -1, 1, 1, 1], [1, -1, 1, 1, -1, 1, 1, 1], [-1, 1, -1, -1, -1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, -1, -1, -1, -1], [-1, 1, 1, 1, -1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, 1, -1, 1, 1, 1, 1, 1]]","[17, 24, 34]"
"[[-1, 1, -1, 1, 1, -1, 1, -1], [-1, -1, -1, 1, 1, 1, 1, -1], [1, 1, -1, 1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, -1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, -1, 1, 1, -1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, 1]]","[12, 20, 22]"
"[[1, 1, 1, -1, -1, -1, 1, 1], [1, 1, 1, -1, -1, -1, 1, -1], [1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, -1, -1, 1, 1, 1, 1], [-1, -1, -1, -1, 1, 1, 1, 1]]","[35, 7, 9]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 22, 26]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [1, -1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1]]","[13, 6, 9]"
"[[-1, -1, 1, 1, 1, 1, -1, 1], [-1, -1, -1, 1, 1, 1, -1, 1], [1, 1, -1, -1, 1, 1, -1, 1], [1, -1, 1, 1, 1, 1, -1, 1], [1, -1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [1, 1, -1, 1, -1, -1, -1, -1]]","[11, 22, 24]"
