_key,isShade,type,shaderPrefabPath,noShaderPrefabPath,colorList,rgbaPercentage,colorProportion,gradientProportion,opacity,color,status_one,status_two
block1,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#555cf5"", ""gradientParam"": ""#575df7"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#181da0"", ""gradientParam"": ""#171d9e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#393fe4"", ""gradientParam"": ""#3b41e7"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#1f24ba"", ""gradientParam"": ""#1e24b9"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#2a31d0"", ""gradientParam"": ""#2b31d2"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#0e1048"", ""gradientParam"": ""#0e1048"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 2.0238095238095237, ""gProportion"": 1.8775510204081634, ""bProportion"": 1.1778846153846154}, {""rProportion"": 0.5714285714285714, ""gProportion"": 0.5918367346938775, ""bProportion"": 0.7692307692307693}, {""rProportion"": 1.3571428571428572, ""gProportion"": 1.2857142857142858, ""bProportion"": 1.0961538461538463}, {""rProportion"": 0.7380952380952381, ""gProportion"": 0.7346938775510204, ""bProportion"": 0.8942307692307693}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.3333333333333333, ""gProportion"": 0.32653061224489793, ""bProportion"": 0.34615384615384615}]","[{""rProportion"": 1.0235294117647058, ""gProportion"": 1.0108695652173914, ""bProportion"": 1.0081632653061225}, {""rProportion"": 0.9583333333333334, ""gProportion"": 1, ""bProportion"": 0.9875}, {""rProportion"": 1.0350877192982457, ""gProportion"": 1.0317460317460319, ""bProportion"": 1.013157894736842}, {""rProportion"": 0.967741935483871, ""gProportion"": 1, ""bProportion"": 0.9946236559139785}, {""rProportion"": 1.0238095238095237, ""gProportion"": 1, ""bProportion"": 1.0096153846153846}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block2,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#f6cf4d"", ""gradientParam"": ""#f5cf4d"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#9e7f12"", ""gradientParam"": ""#a78613"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#deb62f"", ""gradientParam"": ""#ddb52f"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#b9951e"", ""gradientParam"": ""#b8951e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#d0a924"", ""gradientParam"": ""#d0a922"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#403309"", ""gradientParam"": ""#403309"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.1826923076923077, ""gProportion"": 1.2248520710059172, ""bProportion"": 2.138888888888889}, {""rProportion"": 0.7596153846153846, ""gProportion"": 0.7514792899408284, ""bProportion"": 0.5}, {""rProportion"": 1.0673076923076923, ""gProportion"": 1.0769230769230769, ""bProportion"": 1.3055555555555556}, {""rProportion"": 0.8894230769230769, ""gProportion"": 0.8816568047337278, ""bProportion"": 0.8333333333333334}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.3076923076923077, ""gProportion"": 0.30177514792899407, ""bProportion"": 0.25}]","[{""rProportion"": 0.9959349593495935, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1.0569620253164558, ""gProportion"": 1.0551181102362204, ""bProportion"": 1.0555555555555556}, {""rProportion"": 0.9954954954954955, ""gProportion"": 0.9945054945054945, ""bProportion"": 1}, {""rProportion"": 0.9945945945945946, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0.9444444444444444}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block3,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#d557f7"", ""gradientParam"": ""#d457f6"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#8318a0"", ""gradientParam"": ""#81189e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#c234e8"", ""gradientParam"": ""#be31e3"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#991eba"", ""gradientParam"": ""#981eb8"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#ac27d0"", ""gradientParam"": ""#ab29ce"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#370a43"", ""gradientParam"": ""#370a43"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.2383720930232558, ""gProportion"": 2.230769230769231, ""bProportion"": 1.1875}, {""rProportion"": 0.7616279069767442, ""gProportion"": 0.6153846153846154, ""bProportion"": 0.7692307692307693}, {""rProportion"": 1.127906976744186, ""gProportion"": 1.3333333333333333, ""bProportion"": 1.1153846153846154}, {""rProportion"": 0.8895348837209303, ""gProportion"": 0.7692307692307693, ""bProportion"": 0.8942307692307693}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.31976744186046513, ""gProportion"": 0.2564102564102564, ""bProportion"": 0.32211538461538464}]","[{""rProportion"": 0.9953051643192489, ""gProportion"": 1, ""bProportion"": 0.9959514170040485}, {""rProportion"": 0.9847328244274809, ""gProportion"": 1, ""bProportion"": 0.9875}, {""rProportion"": 0.979381443298969, ""gProportion"": 0.9423076923076923, ""bProportion"": 0.978448275862069}, {""rProportion"": 0.9934640522875817, ""gProportion"": 1, ""bProportion"": 0.989247311827957}, {""rProportion"": 0.9941860465116279, ""gProportion"": 1.0512820512820513, ""bProportion"": 0.9903846153846154}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block4,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#f6814f"", ""gradientParam"": ""#f68657"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#9f4017"", ""gradientParam"": ""#a64014"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e56732"", ""gradientParam"": ""#e76b37"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#ba4d1e"", ""gradientParam"": ""#b74c1e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#d15622"", ""gradientParam"": ""#cf5521"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#411a09"", ""gradientParam"": ""#411a09"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.1770334928229664, ""gProportion"": 1.5, ""bProportion"": 2.323529411764706}, {""rProportion"": 0.7607655502392344, ""gProportion"": 0.7441860465116279, ""bProportion"": 0.6764705882352942}, {""rProportion"": 1.0956937799043063, ""gProportion"": 1.197674418604651, ""bProportion"": 1.4705882352941178}, {""rProportion"": 0.8899521531100478, ""gProportion"": 0.8953488372093024, ""bProportion"": 0.8823529411764706}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.31100478468899523, ""gProportion"": 0.3023255813953488, ""bProportion"": 0.2647058823529412}]","[{""rProportion"": 1, ""gProportion"": 1.0387596899224807, ""bProportion"": 1.1012658227848102}, {""rProportion"": 1.0440251572327044, ""gProportion"": 1, ""bProportion"": 0.8695652173913043}, {""rProportion"": 1.0087336244541485, ""gProportion"": 1.0388349514563107, ""bProportion"": 1.1}, {""rProportion"": 0.9838709677419355, ""gProportion"": 0.987012987012987, ""bProportion"": 1}, {""rProportion"": 0.9904306220095693, ""gProportion"": 0.9883720930232558, ""bProportion"": 0.9705882352941176}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block5,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#f55656"", ""gradientParam"": ""#f55151"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#a61616"", ""gradientParam"": ""#9d1414"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e73535"", ""gradientParam"": ""#df3434"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#b71e1e"", ""gradientParam"": ""#b81e1e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#d02a2a"", ""gradientParam"": ""#cf2929"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#3f0909"", ""gradientParam"": ""#3f0909"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.1778846153846154, ""gProportion"": 1.8476190476190475, ""bProportion"": 1.8476190476190475}, {""rProportion"": 0.7980769230769231, ""gProportion"": 0.5238095238095238, ""bProportion"": 0.5238095238095238}, {""rProportion"": 1.1105769230769231, ""gProportion"": 1.2619047619047619, ""bProportion"": 1.2619047619047619}, {""rProportion"": 0.8798076923076923, ""gProportion"": 0.7142857142857143, ""bProportion"": 0.7142857142857143}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.30288461538461536, ""gProportion"": 0.21428571428571427, ""bProportion"": 0.21428571428571427}]","[{""rProportion"": 1, ""gProportion"": 0.9418604651162791, ""bProportion"": 0.9418604651162791}, {""rProportion"": 0.9457831325301205, ""gProportion"": 0.9090909090909091, ""bProportion"": 0.9090909090909091}, {""rProportion"": 0.9653679653679653, ""gProportion"": 0.9811320754716981, ""bProportion"": 0.9811320754716981}, {""rProportion"": 1.005464480874317, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.9951923076923077, ""gProportion"": 0.9761904761904762, ""bProportion"": 0.9761904761904762}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block6,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#64f34f"", ""gradientParam"": ""#6af656"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#279e16"", ""gradientParam"": ""#28a017"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#45de2f"", ""gradientParam"": ""#45de2f"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#31b81e"", ""gradientParam"": ""#33b81f"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#3dcd28"", ""gradientParam"": ""#3cc927"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#104108"", ""gradientParam"": ""#104108"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.639344262295082, ""gProportion"": 1.1853658536585365, ""bProportion"": 1.975}, {""rProportion"": 0.639344262295082, ""gProportion"": 0.7707317073170732, ""bProportion"": 0.55}, {""rProportion"": 1.1311475409836065, ""gProportion"": 1.0829268292682928, ""bProportion"": 1.175}, {""rProportion"": 0.8032786885245902, ""gProportion"": 0.8975609756097561, ""bProportion"": 0.75}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.26229508196721313, ""gProportion"": 0.3170731707317073, ""bProportion"": 0.2}]","[{""rProportion"": 1.06, ""gProportion"": 1.0123456790123457, ""bProportion"": 1.0886075949367089}, {""rProportion"": 1.0256410256410255, ""gProportion"": 1.0126582278481013, ""bProportion"": 1.0454545454545454}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1.0408163265306123, ""gProportion"": 1, ""bProportion"": 1.0333333333333334}, {""rProportion"": 0.9836065573770492, ""gProportion"": 0.9804878048780488, ""bProportion"": 0.975}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block7,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#56d5f6"", ""gradientParam"": ""#57d5f6"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#1789a6"", ""gradientParam"": ""#1784a0"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#2fbbdf"", ""gradientParam"": ""#2fbade"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#1f9bba"", ""gradientParam"": ""#1e98b8"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#24add0"", ""gradientParam"": ""#22a5c7"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#093742"", ""gradientParam"": ""#093742"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 2.388888888888889, ""gProportion"": 1.23121387283237, ""bProportion"": 1.1826923076923077}, {""rProportion"": 0.6388888888888888, ""gProportion"": 0.791907514450867, ""bProportion"": 0.7980769230769231}, {""rProportion"": 1.3055555555555556, ""gProportion"": 1.0809248554913296, ""bProportion"": 1.0721153846153846}, {""rProportion"": 0.8611111111111112, ""gProportion"": 0.8959537572254336, ""bProportion"": 0.8942307692307693}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.25, ""gProportion"": 0.3179190751445087, ""bProportion"": 0.3173076923076923}]","[{""rProportion"": 1.0116279069767442, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 0.9635036496350365, ""bProportion"": 0.963855421686747}, {""rProportion"": 1, ""gProportion"": 0.9946524064171123, ""bProportion"": 0.9955156950672646}, {""rProportion"": 0.967741935483871, ""gProportion"": 0.9806451612903225, ""bProportion"": 0.989247311827957}, {""rProportion"": 0.9444444444444444, ""gProportion"": 0.953757225433526, ""bProportion"": 0.9567307692307693}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
crown,1,2,prefabs/skin/crow/SkinCrownPrefab,,,,,,255,"{""colorParam"": ""#ffc000"", ""gradientParam"": ""#ffcd03"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
crown_score,1,2,prefabs/skin/crow/SkinCrownPrefab,,,,,,255,"{""colorParam"": ""#ffbc0b"", ""gradientParam"": ""#f9a410"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
board_out_line,1,2,prefabs/skin/board/SkinBoardPrefab,,,,"{""rProportion"": 0.75, ""gProportion"": 0.7555555555555555, ""bProportion"": 0.75625}","{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0.9917355371900827}",255,"{""colorParam"": ""#304479"", ""gradientParam"": ""#304478"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
