Content,Index,Difficulty
"6124895789845053780,311029850696581125,1412872443084800,0,2314872198701072384,4611686104360419648,1090519041,0,-9200854038634037248,87960930549888,0,0,4611686104326733824,335544321,0,0",1,
"-8502795921992449398,384213344641351682,373833953771520,4611686018427387904,1170935907478405136,2393089214251008,335544320,0,4466766004480,17448304640,0,0,17039360,0,0,0",2,
"6124895789845054805,384213344641351685,285873024614400,-9223372036854775808,303740088222728,2305843707145885012,1090519042,0,311029850340065280,149533584039936,0,0,1100585369600,66560,0,0",3,
"6052838265600345429,384213344641351681,1412872447283200,-9223372036854775808,612489551604615176,5188148236388401152,5389680649,0,2336462225664,565158103482368,8224,0,0,578712552117108736,0,0",4,
"6124895859638273365,311029850696581125,1214960354283520,2305843009213693952,375208343117856,1186484720980,166400,0,167196136308736000,4526080,4160,0,4611686018427387904,1,0,0",5,
"6052837990454003029,384213344641351681,1500833377505280,0,37383395692544,578853841508762144,44667659913224,0,38280596975255552,2450523346266226688,35651584,0,146028888064,0,136,0",6,
"6124895838163436885,384213344641351685,1500833377505280,-6917529027641081856,2314850217091924008,4620728487987249472,44667660009985,0,-9223363206401982336,-9187255244411305856,134742016,0,9042383660515328,35322146718208,514,0",7,
"6124895859638273365,384213344641351685,1214960354283520,0,375208344376320,290624014048038916,4299196432,0,288511851809996800,2451085205839024128,16400,0,288230376168751104,1154056754661687312,0,0",8,
"6124895859638273365,361695346504499205,1412872447283200,0,375208344376320,1441153260516808020,5389680660,0,-9185082609426726784,-9187343205341855616,134742016,0,9042529689403392,35321811173888,514,0",9,
"6124895859638273365,384213344641351685,1214960354283520,-6917529027641081856,375208342978600,6052839364843541844,4634705941,288230376151711744,-9223360869939806207,1500833372242048,17680,0,279172874240,44667659878400,0,0",10,
"-8574853516030377334,384213344641351684,285873024614400,4611686018427387904,4362076176,11434920971468800,34816,0,16640,285873024286720,0,0,0,1090519040,0,0",11,
"6052837968979165524,384213344641351681,373833958707200,0,71468256071680,11434920928871760,9345848967680,0,73183494217400320,285873023221760,0,0,279172874240,0,0,0",12,
"6124895584491929680,167196137597435909,714682560487424,0,93458488442880,5188147408533460308,2155872265,0,83886080,653109909004322,8224,0,0,578712554272980992,0,0",13,
"6052837990454003029,384213343566561281,373833959034880,0,37383395692544,2314885538869412384,570556930,0,38280596975255552,-9187193706253877248,2176,0,2305843155242582016,292733976349507586,0,0",14,
"6124895859638273365,384213343566561285,373833959034880,-6917529027641081856,2927339768696012840,6052838264258166784,570425365,0,4466766029440,-9187255278905589760,2176,0,1040,0,0,0",15,
"6124895859638273365,384213344641351685,373833954836480,-6917529027641081856,612489560227577896,2305844474871285768,1426063362,288230376151711744,272629761,149533583482880,2176,0,1040,153122387330596864,0,0",16,
"6124895859638273365,384213344641351685,1126999422996480,0,375208344376320,4899917860236694868,4299161617,0,384213343352684672,1214960354283520,16400,0,2314885538869411840,1154047404849365506,0,0",17,
"6124895859638273365,384213344641351685,1214960354283520,0,375208344376320,2882304459449308500,4634705930,0,182958735400903168,4683743629913620480,0,0,551903297536,17867063951360,0,0",18,
"6124895859638273285,384213344641351685,373833959034880,0,375208344294400,6052839364843541844,1426063381,0,-9223360869939773312,-6737384998925500254,35651584,0,4573968405233664,17867064017920,136,0",19,
"6052838265600345429,384213344641351681,1500833377505280,0,93458489758720,2594074631979664720,4869586962,0,38280596975288448,1276533000404992,18576,0,2305843155242582016,1307169792414711810,0,0",20,
"6052838195807126869,95701493512929281,285873028485120,-9223372036854775808,612489549323437064,2392537344638976,131584,0,0,9126805538,0,0,0,34816,0,0",21,
"6124895789845053780,-9200854037286617083,87995424505984,-9223372036854775808,2314872198700990472,4611686104360419648,335675905,0,-9200854038717923328,87960930549888,1280,0,4611686018427387904,90071992882954241,0,0",22,
"6124895859638272340,384213344641351685,1214960354283520,-9223372036854775808,141289525870600,6052839364843541844,4634705941,0,144678138029285888,2450523346268889088,16400,0,0,66560,0,0",23,
"6052838265600345429,384213344641351681,87960934748160,0,37383396009984,4899916540641673760,335544337,0,38280596832665856,557056,1280,0,2305843009213693952,2,0,0",24,
"6124895859638273365,384213343566561285,285873028812800,2305843009213693952,21998856126496,6052838264258168144,1090519061,0,22517998220771456,373833954836480,4160,0,85899345920,9345848870912,0,0",25,
"6124895859638273365,384213344641351685,1412872446955520,-6917529027641081856,2314887600487268392,11434920971468800,35321811173888,288230376151711744,-9223363206402015231,-9187343196215050112,134742016,0,9042383626829824,35321811173888,514,0",26,
"6124895859638273285,384213344641351685,1412872447283200,2305843009213693952,21998856044576,6052839364843541844,5389680661,0,-9223372036854742912,714682558054562,20560,0,1152921504606846976,292733975779082244,0,0",27,
"6052837990454003029,384213344641351681,1500833377505280,-6917529027641081856,612489551604088872,6052839364843536384,5725224981,0,2336462217728,43620761600,10400,0,8912896,1090519040,260,0",28,
"6124895859638273365,311029850696581125,1214960354283520,-9223372036854775808,375208344028168,4899917581063820628,4634705937,0,384213344284835840,1214960353218560,17680,0,4899917495164469248,1244119401695805457,0,0",29,
"6124895838163436885,384213344641351685,1500833377177600,0,353218111738880,1441153346416151080,5389680660,0,73183493944803456,-9187343239833149440,134742016,0,1152921504606846976,4,514,0",30,
"360288336604038405,384213344641351685,1214960353218560,0,141289526396928,11434920971468800,4634705920,0,272629760,43620761600,0,0,0,1090519040,0,0",31,
