_key,key,achieve_type_logic,achieve_type,id,index,en_name,en_get,en_lock,award_icon,achieve_list
achieve_high_score,achieve_high_score,1,1,100001,1,Score Champion,"After scoring {0} points in Classic Mode, you've achieved the Score Champion achievement!",Reach {0} points in Classic Mode to earn the Score Champion achievement!,badge_scoreChampion,"[900, 1400, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 6000, 7000, 8000]"
achieve_win_streak,achieve_win_streak,2,1,100002,2,Invincible Legend,"After a winning streak of {0} times in Adventure Mode, you've achieved the Invincible Legend achievement!",Achieve a winning streak of {0} games in Adventure Mode to earn the Invincible Legend achievement!,badge_invincibleLegend,"[2, 4, 6, 8, 10]"
achieve_login_day,achieve_login_day,3,1,100003,3,Perseverance,"After logging in for {0} days, you've achieved the Perseverance achievement!",Log in for {0} consecutive days to earn the Perseverance achievement!,badge_perseverance,"[3, 6, 10, 20, 35, 55, 80, 120, 170, 230]"
achieve_all_levels,achieve_all_levels,4,1,100004,4,Block Master,"After completing {0} levels, you've achieved the Block Master achievement!",Complete {0} levels to earn the Block Master achievement!,badge_blockMaster,"[3, 8, 20, 40, 70, 110, 160, 220, 290, 370]"
achieve_elimination_multi,achieve_elimination_multi,5,1,100005,5,Opportunist,"After making {0} multi-eliminations, you've achieved the Opportunist achievement!",Achieve {0} multi-eliminations to earn the Opportunist achievement!,badge_opportunist,"[5, 15, 30, 45, 70, 100, 140, 190, 240, 300]"
achieve_collect_gem,achieve_collect_gem,6,1,100006,6,Jewelry Tycoon,"After collecting {0} gems, you've achieved the Jewelry Tycoon achievement!",Collect {0} gems to earn the Jewelry Tycoon achievement!,badge_jewelryTycoon,"[10, 50, 100, 150, 300, 450, 600, 800, 1000, 1200]"
achieve_high_combo,achieve_high_combo,7,1,100007,7,Unwavering,"After reaching a maximum combo of {0}, you've achieved the Unwavering achievement!",Reach a maximum combo of {0} to earn the Unwavering achievement!,badge_unwavering,"[2, 4, 6, 8, 10]"
achieve_adventure_map,achieve_adventure_map,8,1,100008,8,Adventurer,"After completing Adventure Map {0} times, you've achieved the Adventurer achievement!",Complete Adventure Mode {0} times to earn the Adventurer achievement!,badge_adventurer,[1]
achieve_elimination_block,achieve_elimination_block,9,1,100009,9,Master Cleaner,"After eliminating {0} blocks, you've achieved the Master Cleaner achievement!",Eliminate {0} blocks to earn the Master Cleaner achievement!,badge_masterCleaner,"[500, 1000, 2000, 4000, 6000, 8000, 10000, 13000, 16000, 20000]"
month_achieve_2024_7,month_achieve_2024_7,14,2,102407,10,Jungle Exploration,"After completing {0} levels, you've achieved the Jungle Exploration achievement!",Complete {0} levels to earn the Jungle Exploration achievement!,badge_jungleExploration,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
month_achieve_2024_8,month_achieve_2024_8,14,2,102408,11,Jungle Exploration,"After completing {0} levels, you've achieved the Jungle Exploration achievement!",Complete {0} levels to earn the Jungle Exploration achievement!,badge_jungleExploration,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
month_achieve_2024_9,month_achieve_2024_9,14,2,102409,12,Undersea Treasure Hunting,"After completing {0} levels, you've achieved the Undersea Treasure Hunting achievement!",Complete {0} levels to earn the Undersea Treasure Hunting achievement!,badge_underseaTreasure,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
month_achieve_2024_10,month_achieve_2024_10,14,2,102410,13,Volcano Investigation,"After completing {0} levels, you've achieved the Volcano Investigation achievement!",Complete {0} levels to earn the Volcano Investigation achievement!,badge_volcanoInvestigation,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
month_achieve_2024_11,month_achieve_2024_11,14,2,102411,14,Marathon Race,"After completing {0} levels, you've achieved the Marathon Race achievement!",Complete {0} levels to earn the Marathon Race achievement!,badge_marathonRace,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
month_achieve_2024_12,month_achieve_2024_12,14,2,102412,15,Build a Snowman,"After completing {0} levels, you've achieved the Build a Snowman achievement!",Complete {0} levels to earn the Build a Snowman achievement!,badge_buildSnowman,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
