_key,key,achieve_type_logic,achieve_type,new_old,detail_type,new_style,go_to,id,index,en_name,show_or_not,en_get,en_lock,award_icon,block_style,tag_id,achieve_list,achieve_list_avg,achieve_list_lower,achieve_list_higher
achieve_curiosity_2,achieve_curiosity_2,1001,1,1,0,0,1,101001,2, Exploration,1,"After clicking the starlight block on the chessboard three times consecutively, you have earned the  Exploration achievement!",Explore the special block to earn the   Exploration achievement!,badge_curiosity,1,isOpenRandomEasterEgg,[1],[1],[1],[1]
achieve_pink_blocks,achieve_pink_blocks,1002,1,1,0,0,1,101002,1,I Love Pink,1,"After completing {0} levels in 7 days, you've earned the I Love Pink achivement!",Finish {0} Adventure levels in 7 days to earn the I Love Pink achievement!,badge_eventpink,1,iLovePink,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
month_achieve_2025_1,month_achieve_2025_1,14,2,0,1,1,1,102501,37,Aquarius,,"After completing {0} levels, you've achieved the Aquarius achievement!",Complete {0} levels to earn the Aquarius achievement!,badge_Aquarius,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_2,month_achieve_2025_2,14,2,0,1,1,1,102502,38,Pisces,,"After completing {0} levels, you've achieved the Pisces achievement!",Complete {0} levels to earn the Pisces achievement!,badge_Pisces,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_3,month_achieve_2025_3,14,2,0,1,1,1,102503,39,Aries,,"After completing {0} levels, you've achieved the Aries achievement!",Complete {0} levels to earn the Aries achievement!,badge_Aries,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_4,month_achieve_2025_4,14,2,0,1,1,1,102504,40,Taurus,,"After completing {0} levels, you've achieved the Taurus achievement!",Complete {0} levels to earn the Taurus achievement!,badge_Taurus,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_5,month_achieve_2025_5,14,2,0,1,1,1,102505,41,Gemini,,"After completing {0} levels, you've achieved the Gemini achievement!",Complete {0} levels to earn the Gemini achievement!,badge_Gemini,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_6,month_achieve_2025_6,14,2,0,1,1,1,102506,42,Cancer,,"After completing {0} levels, you've achieved the Cancer achievement!",Complete {0} levels to earn the Cancer achievement!,badge_Cancer,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_7,month_achieve_2025_7,14,2,0,1,1,1,102507,43,Leo,,"After completing {0} levels, you've achieved the Leo achievement!",Complete {0} levels to earn the Leo achievement!,badge_Leo,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2025_8,month_achieve_2025_8,14,2,0,1,1,1,102508,44,Virgo,,"After completing {0} levels, you've achieved the Virgo achievement!",Complete {0} levels to earn the Virgo achievement!,badge_Virgo,,isOpenAchivenmentMonth,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
