_key,isShade,type,shaderPrefabPath,noShaderPrefabPath,colorList,rgbaPercentage,colorProportion,gradientProportion,opacity,color,status_one,status_two
block1,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#f9e564"", ""gradientParam"": ""#fbea77"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#967103"", ""gradientParam"": ""#a47d03"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#f8de29"", ""gradientParam"": ""#f4d618"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e4ac08"", ""gradientParam"": ""#c19106"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e6cb11"", ""gradientParam"": ""#f3b607"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#562f00"", ""gradientParam"": ""#562f00"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.0826086956521739, ""gProportion"": 1.1280788177339902, ""bProportion"": 5.882352941176471}, {""rProportion"": 0.6521739130434783, ""gProportion"": 0.5566502463054187, ""bProportion"": 0.17647058823529413}, {""rProportion"": 1.0782608695652174, ""gProportion"": 1.0935960591133005, ""bProportion"": 2.411764705882353}, {""rProportion"": 0.991304347826087, ""gProportion"": 0.8472906403940886, ""bProportion"": 0.47058823529411764}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.3739130434782609, ""gProportion"": 0.2315270935960591, ""bProportion"": 0}]","[{""rProportion"": 1.0080321285140563, ""gProportion"": 1.0218340611353711, ""bProportion"": 1.19}, {""rProportion"": 1.0933333333333333, ""gProportion"": 1.1061946902654867, ""bProportion"": 1}, {""rProportion"": 0.9838709677419355, ""gProportion"": 0.963963963963964, ""bProportion"": 0.5853658536585366}, {""rProportion"": 0.8464912280701754, ""gProportion"": 0.8430232558139535, ""bProportion"": 0.75}, {""rProportion"": 1.0565217391304347, ""gProportion"": 0.896551724137931, ""bProportion"": 0.4117647058823529}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0}]",,,,
block2,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#ffb57a"", ""gradientParam"": ""#ffb57a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#9c4609"", ""gradientParam"": ""#9c4609"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#ff9a51"", ""gradientParam"": ""#ff8427"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#c0621d"", ""gradientParam"": ""#bf5b13"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#f2832d"", ""gradientParam"": ""#e0691a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#531500"", ""gradientParam"": ""#531500"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.0537190082644627, ""gProportion"": 1.381679389312977, ""bProportion"": 2.7111111111111112}, {""rProportion"": 0.6446280991735537, ""gProportion"": 0.5343511450381679, ""bProportion"": 0.2}, {""rProportion"": 1.0537190082644627, ""gProportion"": 1.1755725190839694, ""bProportion"": 1.8}, {""rProportion"": 0.7933884297520661, ""gProportion"": 0.7480916030534351, ""bProportion"": 0.6444444444444445}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.34297520661157027, ""gProportion"": 0.16030534351145037, ""bProportion"": 0}]","[{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 0.8571428571428571, ""bProportion"": 0.48148148148148145}, {""rProportion"": 0.9947916666666666, ""gProportion"": 0.9285714285714286, ""bProportion"": 0.6551724137931034}, {""rProportion"": 0.9256198347107438, ""gProportion"": 0.8015267175572519, ""bProportion"": 0.5777777777777777}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0}]",,,,
block3,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#849afc"", ""gradientParam"": ""#849afc"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#29398a"", ""gradientParam"": ""#29398a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#5b80fb"", ""gradientParam"": ""#5564f2"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#3755ca"", ""gradientParam"": ""#3552bd"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#5270e5"", ""gradientParam"": ""#3e59dd"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#222d6d"", ""gradientParam"": ""#222d6d"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.6097560975609757, ""gProportion"": 1.375, ""bProportion"": 1.1004366812227073}, {""rProportion"": 0.5, ""gProportion"": 0.5089285714285714, ""bProportion"": 0.6026200873362445}, {""rProportion"": 1.1097560975609757, ""gProportion"": 1.1428571428571428, ""bProportion"": 1.0960698689956332}, {""rProportion"": 0.6707317073170732, ""gProportion"": 0.7589285714285714, ""bProportion"": 0.8820960698689956}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.4146341463414634, ""gProportion"": 0.4017857142857143, ""bProportion"": 0.4759825327510917}]","[{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.9340659340659341, ""gProportion"": 0.78125, ""bProportion"": 0.9641434262948207}, {""rProportion"": 0.9636363636363636, ""gProportion"": 0.9647058823529412, ""bProportion"": 0.9356435643564357}, {""rProportion"": 0.7560975609756098, ""gProportion"": 0.7946428571428571, ""bProportion"": 0.9650655021834061}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block4,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#a1e43e"", ""gradientParam"": ""#a1e43e"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#405d18"", ""gradientParam"": ""#405d18"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#8dc937"", ""gradientParam"": ""#77aa2b"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#5a821e"", ""gradientParam"": ""#50731c"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#7bb21f"", ""gradientParam"": ""#6ea01b"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#283a0f"", ""gradientParam"": ""#283a0f"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.3089430894308942, ""gProportion"": 1.2808988764044944, ""bProportion"": 2}, {""rProportion"": 0.5203252032520326, ""gProportion"": 0.5224719101123596, ""bProportion"": 0.7741935483870968}, {""rProportion"": 1.146341463414634, ""gProportion"": 1.1292134831460674, ""bProportion"": 1.7741935483870968}, {""rProportion"": 0.7317073170731707, ""gProportion"": 0.7303370786516854, ""bProportion"": 0.967741935483871}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.3252032520325203, ""gProportion"": 0.3258426966292135, ""bProportion"": 0.4838709677419355}]","[{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.8439716312056738, ""gProportion"": 0.845771144278607, ""bProportion"": 0.7818181818181819}, {""rProportion"": 0.8888888888888888, ""gProportion"": 0.8846153846153846, ""bProportion"": 0.9333333333333333}, {""rProportion"": 0.8943089430894309, ""gProportion"": 0.898876404494382, ""bProportion"": 0.8709677419354839}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
block5,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#f9e564"", ""gradientParam"": ""#fbea77"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#967103"", ""gradientParam"": ""#a47d03"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#f8de29"", ""gradientParam"": ""#f4d618"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e4ac08"", ""gradientParam"": ""#c19106"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#e6cb11"", ""gradientParam"": ""#f3b607"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#562f00"", ""gradientParam"": ""#562f00"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.0826086956521739, ""gProportion"": 1.1280788177339902, ""bProportion"": 5.882352941176471}, {""rProportion"": 0.6521739130434783, ""gProportion"": 0.5566502463054187, ""bProportion"": 0.17647058823529413}, {""rProportion"": 1.0782608695652174, ""gProportion"": 1.0935960591133005, ""bProportion"": 2.411764705882353}, {""rProportion"": 0.991304347826087, ""gProportion"": 0.8472906403940886, ""bProportion"": 0.47058823529411764}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.3739130434782609, ""gProportion"": 0.2315270935960591, ""bProportion"": 0}]","[{""rProportion"": 1.0080321285140563, ""gProportion"": 1.0218340611353711, ""bProportion"": 1.19}, {""rProportion"": 1.0933333333333333, ""gProportion"": 1.1061946902654867, ""bProportion"": 1}, {""rProportion"": 0.9838709677419355, ""gProportion"": 0.963963963963964, ""bProportion"": 0.5853658536585366}, {""rProportion"": 0.8464912280701754, ""gProportion"": 0.8430232558139535, ""bProportion"": 0.75}, {""rProportion"": 1.0565217391304347, ""gProportion"": 0.896551724137931, ""bProportion"": 0.4117647058823529}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0}]",,,,
block6,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#ffb57a"", ""gradientParam"": ""#ffb57a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#9c4609"", ""gradientParam"": ""#9c4609"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#ff9a51"", ""gradientParam"": ""#ff8427"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#c0621d"", ""gradientParam"": ""#bf5b13"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#f2832d"", ""gradientParam"": ""#e0691a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#531500"", ""gradientParam"": ""#531500"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.0537190082644627, ""gProportion"": 1.381679389312977, ""bProportion"": 2.7111111111111112}, {""rProportion"": 0.6446280991735537, ""gProportion"": 0.5343511450381679, ""bProportion"": 0.2}, {""rProportion"": 1.0537190082644627, ""gProportion"": 1.1755725190839694, ""bProportion"": 1.8}, {""rProportion"": 0.7933884297520661, ""gProportion"": 0.7480916030534351, ""bProportion"": 0.6444444444444445}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.34297520661157027, ""gProportion"": 0.16030534351145037, ""bProportion"": 0}]","[{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 0.8571428571428571, ""bProportion"": 0.48148148148148145}, {""rProportion"": 0.9947916666666666, ""gProportion"": 0.9285714285714286, ""bProportion"": 0.6551724137931034}, {""rProportion"": 0.9256198347107438, ""gProportion"": 0.8015267175572519, ""bProportion"": 0.5777777777777777}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 0}]",,,,
block7,1,1,prefabs/skin/block/SkinBlockPrefab,,"[{""colorParam"": ""#849afc"", ""gradientParam"": ""#849afc"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#29398a"", ""gradientParam"": ""#29398a"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#5b80fb"", ""gradientParam"": ""#5564f2"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#3755ca"", ""gradientParam"": ""#3552bd"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#5270e5"", ""gradientParam"": ""#3e59dd"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}, {""colorParam"": ""#222d6d"", ""gradientParam"": ""#222d6d"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 0, ""blendModeEnabled"": 0, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}]","[0, 0, 0, 0]","[{""rProportion"": 1.6097560975609757, ""gProportion"": 1.375, ""bProportion"": 1.1004366812227073}, {""rProportion"": 0.5, ""gProportion"": 0.5089285714285714, ""bProportion"": 0.6026200873362445}, {""rProportion"": 1.1097560975609757, ""gProportion"": 1.1428571428571428, ""bProportion"": 1.0960698689956332}, {""rProportion"": 0.6707317073170732, ""gProportion"": 0.7589285714285714, ""bProportion"": 0.8820960698689956}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.4146341463414634, ""gProportion"": 0.4017857142857143, ""bProportion"": 0.4759825327510917}]","[{""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}, {""rProportion"": 0.9340659340659341, ""gProportion"": 0.78125, ""bProportion"": 0.9641434262948207}, {""rProportion"": 0.9636363636363636, ""gProportion"": 0.9647058823529412, ""bProportion"": 0.9356435643564357}, {""rProportion"": 0.7560975609756098, ""gProportion"": 0.7946428571428571, ""bProportion"": 0.9650655021834061}, {""rProportion"": 1, ""gProportion"": 1, ""bProportion"": 1}]",,,,
crown,1,2,prefabs/skin/crow/SkinCrownPrefab,,,,,,255,"{""colorParam"": ""#ffd303"", ""gradientParam"": ""#ffae00"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
crown_score,1,2,prefabs/skin/crow/SkinCrownPrefab,,,,,,255,"{""colorParam"": ""#f2c909"", ""gradientParam"": ""#f9aa11"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
board_out_line,1,2,prefabs/skin/board/SkinBoardPrefab,,,,"{""rProportion"": 0.6480446927374302, ""gProportion"": 0.6153846153846154, ""bProportion"": 0.6153846153846154}","{""rProportion"": 1.896551724137931, ""gProportion"": 1.84375, ""bProportion"": 2}",255,"{""colorParam"": ""#742020"", ""gradientParam"": ""#dc3b40"", ""brightness"": 1, ""contrast"": 1, ""saturation"": 1, ""hue"": 0, ""hueEnabled"": 0, ""gradientEnabled"": 1, ""blendModeEnabled"": 1, ""gradientStrength"": 0.5, ""blendMode"": 1, ""gradientDirection"": 90, ""gradientType"": 0}",,
