ID,name,unlock_type,unlock_num,dexc_ch,desc_en,isShow,iconName
1000,Default,0,1,原皮肤,first,1,skin_000
1001,Pure Pink,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_001
1002,Macaron,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_002
1003,Gradient Pink,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_003
1004,Morandi ,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_004
1008,Dark Pop,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_008
1009,Mondrian,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_009
1010,Cyberpunk,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_010
1012,Ocean,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_012
1015,Memphis,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_015
1017,Matisse,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_017
1018,Latte,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_018
1019,Pantone,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_019
1021,Blue-white,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_021
1022,Classic Black,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_022
1023,Earth,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_023
1024,Air Pink,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_024
1025,Tiffany Blue,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_025
1027,Macaw,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_027
1029,Glaciers,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_029
1030,Warm Cold,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_030
1031,Wizard,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_031
1032,Passion,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_032
1033,Peaceful,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_033
1034,Mystery,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_034
1035,Fresh,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_035
1036,Romantic,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_036
1037,Calm,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_037
1038,Lovely,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_038
1039,Energy,2,1,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_039
