ID,name
1038,Lovely
1033,Peaceful
1031,Wizard
1014,Ukiyoe
1003,Gradient Pink
1008,Dark Pop
1012,Ocean
1006,Sunflowers
1026,Dessert
1036,Romantic
1009,Mondrian
1010,Cyberpunk
1007,The Starry Night
1021,Blue-white
1027,Macaw
1028,Mountains
1013,Forest
1025,Tiffany Blue
1018,Latte
1002,Macaron
1015,Memphis
1023,Earth
1017,Matisse
1022,Classic Black
1032,Passion
1011,Countryside
1030,Warm Cold
1001,Pure Pink
1004,Morandi
1020,Ground
1029,Glaciers
1016,Rococo
1005,Pure Green
1039,Energy
1024,Air Pink
1029,Glaciers
1034,Mystery
1037,Calm
1019,Pantone
