ID,name,unlock_type,unlock_num,dexc_ch,desc_en,isShow,iconName,achieveKey
1000,Default,0,1,原皮肤,first,1,skin_000,
1001,Pure Pink,3,1,完成成就: {0},After completing achievement: {0},1,skin_001,achieve_skin
1002,Macaron,3,1,完成成就: {0},After completing achievement: {0},1,skin_002,achieve_skin
1003,Gradient Pink,3,1,完成成就: {0},After completing achievement: {0},1,skin_003,achieve_skin
1004,Morandi ,3,1,完成成就: {0},After completing achievement: {0},1,skin_004,achieve_skin
1005,Pure Green,3,1,完成成就: {0},After completing achievement: {0},1,skin_005,achieve_skin
1006,Sunflowers,3,1,完成成就: {0},After completing achievement: {0},1,skin_006,achieve_skin
1007,The Starry Night,3,1,完成成就: {0},After completing achievement: {0},1,skin_007,achieve_skin
1008,Dark Pop,3,1,完成成就: {0},After completing achievement: {0},1,skin_008,achieve_skin
1009,Mondrian,3,1,完成成就: {0},After completing achievement: {0},1,skin_009,achieve_skin
1010,Cyberpunk,3,1,完成成就: {0},After completing achievement: {0},1,skin_010,achieve_skin
1011,Countryside,3,1,完成成就: {0},After completing achievement: {0},1,skin_011,achieve_skin
1012,Ocean,3,1,完成成就: {0},After completing achievement: {0},1,skin_012,achieve_skin
1013,Forest,3,1,完成成就: {0},After completing achievement: {0},1,skin_013,achieve_skin
1014,Ukiyoe,3,1,完成成就: {0},After completing achievement: {0},1,skin_014,achieve_skin
1015,Memphis,3,1,完成成就: {0},After completing achievement: {0},1,skin_015,achieve_skin
1016,Rococo,3,1,完成成就: {0},After completing achievement: {0},1,skin_016,achieve_skin
1017,Matisse,3,1,完成成就: {0},After completing achievement: {0},1,skin_017,achieve_skin
1018,Latte,3,1,完成成就: {0},After completing achievement: {0},1,skin_018,achieve_skin
1019,Pantone,3,1,完成成就: {0},After completing achievement: {0},1,skin_019,achieve_skin
1020,Ground,3,1,完成成就: {0},After completing achievement: {0},1,skin_020,achieve_skin
1021,Blue-white,3,1,完成成就: {0},After completing achievement: {0},1,skin_021,achieve_skin
1022,Classic Black,3,1,完成成就: {0},After completing achievement: {0},1,skin_022,achieve_skin
1023,Earth,3,1,完成成就: {0},After completing achievement: {0},1,skin_023,achieve_skin
1024,Air Pink,3,1,完成成就: {0},After completing achievement: {0},1,skin_024,achieve_skin
1025,Tiffany Blue,3,1,完成成就: {0},After completing achievement: {0},1,skin_025,achieve_skin
1026,Dessert,3,1,完成成就: {0},After completing achievement: {0},1,skin_026,achieve_skin
1027,Macaw,3,1,完成成就: {0},After completing achievement: {0},1,skin_027,achieve_skin
1028,Mountains,3,1,完成成就: {0},After completing achievement: {0},1,skin_028,achieve_skin
1029,Glaciers,3,1,完成成就: {0},After completing achievement: {0},1,skin_029,achieve_skin
1030,Warm Cold,3,1,完成成就: {0},After completing achievement: {0},1,skin_030,achieve_skin
1031,Wizard,3,1,完成成就: {0},After completing achievement: {0},1,skin_031,achieve_skin
1032,Passion,3,1,完成成就: {0},After completing achievement: {0},1,skin_032,achieve_skin
1033,Peaceful,3,1,完成成就: {0},After completing achievement: {0},1,skin_033,achieve_skin
1034,Mystery,3,1,完成成就: {0},After completing achievement: {0},1,skin_034,achieve_skin
1035,Fresh,3,1,完成成就: {0},After completing achievement: {0},1,skin_035,achieve_skin
1036,Romantic,3,1,完成成就: {0},After completing achievement: {0},1,skin_036,achieve_skin
1037,Calm,3,1,完成成就: {0},After completing achievement: {0},1,skin_037,achieve_skin
1038,Lovely,3,1,完成成就: {0},After completing achievement: {0},1,skin_038,achieve_skin
1039,Energy,3,1,完成成就: {0},After completing achievement: {0},1,skin_039,achieve_skin
