ID,name,unlock_type,unlock_num,dexc_ch,desc_en,isShow,iconName
1000,Default,0,1,原皮肤,first,1,skin_000
1001,Pure Pink,5,1,分享游戏,After sharing the games,1,skin_001
1002,Macaron,5,1,分享游戏,After sharing the games,1,skin_002
1003,Gradient Pink,5,1,分享游戏,After sharing the games,1,skin_003
1004,Morandi ,5,1,分享游戏,After sharing the games,1,skin_004
1005,Pure Green,5,1,分享游戏,After sharing the games,1,skin_005
1006,Sunflowers,5,1,分享游戏,After sharing the games,1,skin_006
1007,The Starry Night,5,1,分享游戏,After sharing the games,1,skin_007
1008,Dark Pop,5,1,分享游戏,After sharing the games,1,skin_008
1009,Mondrian,5,1,分享游戏,After sharing the games,1,skin_009
1010,Cyberpunk,5,1,分享游戏,After sharing the games,1,skin_010
1011,Countryside,5,1,分享游戏,After sharing the games,1,skin_011
1012,Ocean,5,1,分享游戏,After sharing the games,1,skin_012
1013,Forest,5,1,分享游戏,After sharing the games,1,skin_013
1014,Ukiyoe,5,1,分享游戏,After sharing the games,1,skin_014
1015,Memphis,5,1,分享游戏,After sharing the games,1,skin_015
1016,Rococo,5,1,分享游戏,After sharing the games,1,skin_016
1017,Matisse,5,1,分享游戏,After sharing the games,1,skin_017
1018,Latte,5,1,分享游戏,After sharing the games,1,skin_018
1019,Pantone,5,1,分享游戏,After sharing the games,1,skin_019
1020,Ground,5,1,分享游戏,After sharing the games,1,skin_020
1021,Blue-white,5,1,分享游戏,After sharing the games,1,skin_021
1022,Classic Black,5,1,分享游戏,After sharing the games,1,skin_022
1023,Earth,5,1,分享游戏,After sharing the games,1,skin_023
1024,Air Pink,5,1,分享游戏,After sharing the games,1,skin_024
1025,Tiffany Blue,5,1,分享游戏,After sharing the games,1,skin_025
1026,Dessert,5,1,分享游戏,After sharing the games,1,skin_026
1027,Macaw,5,1,分享游戏,After sharing the games,1,skin_027
1028,Mountains,5,1,分享游戏,After sharing the games,1,skin_028
1029,Glaciers,5,1,分享游戏,After sharing the games,1,skin_029
1030,Warm Cold,5,1,分享游戏,After sharing the games,1,skin_030
1031,Wizard,5,1,分享游戏,After sharing the games,1,skin_031
1032,Passion,5,1,分享游戏,After sharing the games,1,skin_032
1033,Peaceful,5,1,分享游戏,After sharing the games,1,skin_033
1034,Mystery,5,1,分享游戏,After sharing the games,1,skin_034
1035,Fresh,5,1,分享游戏,After sharing the games,1,skin_035
1036,Romantic,5,1,分享游戏,After sharing the games,1,skin_036
1037,Calm,5,1,分享游戏,After sharing the games,1,skin_037
1038,Lovely,5,1,分享游戏,After sharing the games,1,skin_038
1039,Energy,5,1,分享游戏,After sharing the games,1,skin_039
