_key,ID,UnitID,Weight,ScoreBeg,ScoreEnd,CubeNumBeg,CubeNumEnd,ProgressBeg,ProgressEnd,CubeIDWeight
1,1,1,100,0,-1,0,-1,0,20,"8,10|9,10|10,10|14,10|17,10|18,10|26,10|33,10"
2,2,2,100,0,30000,0,-1,20,50,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
3,3,2,100,30000,60000,0,-1,50,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
4,4,2,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
5,5,3,100,0,-1,0,-1,0,-1,"101,10|102,10|103,10|104,10|105,10|106,10|107,10|108,10"
6,6,100,100,0,-1,0,-1,0,-1,"201,10|202,10|203,10|204,10|205,10|206,10|207,10|208,10"
7,7,4,100,0,6000,0,-1,0,-1,"10,10|14,10|18,10|26,10|33,10|9,10|17,20|8,10"
8,8,4,100,6000,25000,0,-1,0,-1,"10,10|14,10|18,10|26,10|33,10|9,10|17,15|8,10"
9,9,4,100,25000,-1,0,-1,0,-1,"10,10|14,10|18,10|26,10|33,10|9,10|17,10|8,10"
10,10,200,100,0,-1,0,-1,0,-1,"10,10|14,10|18,10|26,10|33,10|9,10|17,15|8,10"
11,11,5,100,0,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10"
12,12,6,100,0,30000,0,-1,0,-1,"1,10|3,10|4,10|6,10|15,10|27,10|28,10|8,30|9,30|10,30|14,30|17,30|18,30|26,30|33,30|11,10|12,10|21,10|23,10|24,10|35,10"
13,13,6,100,30000,60000,0,-1,0,-1,"1,5|3,5|4,5|6,5|15,5|27,5|28,5|8,30|9,30|10,30|14,30|17,30|18,30|26,30|33,30|11,10|12,10|21,10|23,10|24,10|35,10"
14,14,6,100,60000,-1,0,-1,0,-1,"1,5|3,5|4,5|6,5|15,5|27,5|28,5|8,30|9,30|10,30|14,30|17,30|18,30|26,30|33,30|11,10|12,10|21,10|23,10|24,10|35,10"
15,15,1000,100,0,-1,0,-1,0,-1,"1001,10|1002,10|1003,10|1004,10|1005,10|1006,10|1007,10|1008,10|1009,10|1010,10|1011,10|1012,10|1013,10|1014,10|1015,10|1016,10"
16,16,7,100,0,30000,0,-1,0,-1,"8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
17,17,7,100,30000,60000,0,-1,0,-1,"8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
18,18,7,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
19,19,8,100,0,30000,0,-1,0,-1,"3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
20,20,8,100,30000,60000,0,-1,0,-1,"3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
21,21,8,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
22,22,9,100,0,30000,0,3000,0,-1,"8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
23,23,9,100,30000,60000,0,3000,0,-1,"8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
24,24,9,100,60000,-1,0,3000,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
25,25,9,100,0,30000,3001,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
26,26,9,100,30000,60000,3001,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
27,27,9,100,60000,-1,3001,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
28,28,10,100,0,30000,0,-1,0,-1,"8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
29,29,10,100,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
30,30,10,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
31,31,11,100,0,30000,0,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
32,32,11,100,30000,60000,0,-1,0,-1,"8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
33,33,11,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
34,34,12,100,0,30000,0,3000,0,-1,"3,5|5,5|6,5|15,5|27,5|28,5|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
35,35,12,100,30000,60000,0,3000,0,-1,"3,5|37,5|38,5|5,5|6,5|15,5|27,5|28,5|39,5|40,5|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
36,36,12,100,60000,-1,0,3000,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
37,37,12,100,0,30000,3001,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
