_key,cubeID,data,tc,WetFix,ts
1,1,1,1,0,1
2,2,1|1,1,0,1
3,3,"1,1",1,0,1
4,4,1|1|1,1,0,1
5,5,"1,1,1",1,0,1
6,6,"1,1|1,0",1,0,1
7,7,1|1|1|1,1,0,1
8,8,"1,0,0|1,1,1",1,0,1
9,9,"1,1|1,1",1,0,1
10,10,"0,1,0|1,1,1",1,0,1
11,11,"1,1,1,1,1",1,0,1
12,12,"1,1,1|0,0,1|0,0,1",1,0,1
13,13,"1,1,1|1,1,1|1,1,1",1,0,1
14,14,"0,1,1|1,1,0",1,0,1
15,15,"1,1|0,1",1,0,1
16,16,"1,0|1,1|0,1",1,0,1
17,17,"1,1,1,1",1,0,1
18,18,"1,1,0|0,1,1",1,0,1
19,19,"0,1|1,1|1,0",1,0,1
20,20,"1,0|1,1|1,0",1,0,1
21,21,"1,1,1|1,0,0|1,0,0",1,0,1
22,22,1|1|1|1|1,1,0,1
23,23,"1,0,0|1,0,0|1,1,1",1,0,1
24,24,"0,0,1|0,0,1|1,1,1",1,0,1
25,25,"0,1|1,1|0,1",1,0,1
26,26,"1,1,1|0,1,0",1,0,1
27,27,"1,0|1,1",1,0,1
28,28,"0,1|1,1",1,0,1
29,29,"0,1|0,1|1,1",1,0,1
30,30,"1,1,1|0,0,1",1,0,1
31,31,"1,1|1,0|1,0",1,0,1
32,32,"1,1|0,1|0,1",1,0,1
33,33,"0,0,1|1,1,1",1,0,1
34,34,"1,1,1|1,0,0",1,0,1
35,35,"1,1,1|1,1,1",1,0,1
36,36,"1,1|1,1|1,1",1,0,1
37,37,"1,0|0,1",1,0,1
38,38,"0,1|1,0",1,0,1
39,39,"1,0,0|0,1,0|0,0,1",1,0,1
40,40,"0,0,1|0,1,0|1,0,0",1,0,1
41,41,"0,0,1|0,1,0|1,0,0",1,0,1
42,42,"1,0|1,0|1,1",1,0,1
43,43,"1,0|1,0|2,2",2,0,1
44,44,"1;7;7,0;7;7|1;7;7,0;7;7|1;7;7,1;7;7",1,0,1
45,45,"1;7;7,0;7;7|1;7;7,0;7;7|2;7;7,2;7;7",2,0,1
101,101,"0;8;7,0;9;7,1;7;7|1;8;7,1;9;7,1;7;7",1,0,1
102,102,"1;7;7,0;9;7,0;8;7|1;7;7,1;9;7,1;8;7",1,0,1
103,103,"0;8;7,1;8;7,0;8;7|1;8;7,1;8;7,1;8;7",1,0,1
104,104,"1;8;7,1;8;7,1;8;7|0;8;7,1;8;7,0;8;7",1,0,1
105,105,"1;8;7,1;8;7,0;8;7|0;8;7,1;8;7,1;8;7",1,0,1
106,106,"0;8;7,1;8;7,1;8;7|1;8;7,1;8;7,0;8;7",1,0,1
107,107,"1;9;7,1;8;7,1;8;7,1;8;7",1,0,1
108,108,"1;8;8,1;8;8|1;8;8,1;8;8",1,0,1
201,201,"0;8;7,0;4;7,0;5;7,2;7;7|1;8;7,1;4;7,2;5;7,2;7;7",2,0,1
202,202,"1;7;7,0;5;7,0;4;7,0;8;7|1;7;7,1;5;7,2;4;7,2;8;7",2,0,1
203,203,"0;8;7,1;4;7,2;4;7,0;8;7|1;8;7,1;4;7,2;4;7,2;8;7",2,0,1
204,204,"1;8;7,1;4;7,2;4;7,2;8;7|0;8;7,1;4;7,2;4;7,0;8;7",2,0,1
205,205,"1;8;7,1;4;7,2;4;7,0;8;7|0;8;7,1;4;7,2;4;7,2;8;7",2,0,1
206,206,"0;8;7,1;4;7,2;4;7,2;8;7|1;8;7,1;4;7,2;4;7,0;8;7",2,0,1
207,207,"1;9;7,1;8;7,2;8;7,2;8;7",2,0,1
208,208,"1;8;8,2;8;8|1;8;8,2;8;8",2,0,1
1001,1001,"0;3;1;0,1;8;1;0,2;8;1;0,0;3;1;0|0;2;1;0,1;9;1;0,2;9;1;0,0;2;1;0|0;1;1;0,1;10;1;0,2;10;1;0,0;1;1;0|1;11;1;0,2;11;1;0|1;11;1;0,2;11;1;0|1;11;1;0,2;11;1;0|1;11;1;0,2;11;1;0|1;11;1;0,2;8;1;0,2;1;1;3,2;2;1;0|1;11;1;0,2;7;1;0,2;1;1;3,2;3;1;0|0;1;1;0,1;10;1;0,2;2;1;0,2;5;1;3,2;3;1;0,0;1;1;0|0;2;1;0,1;9;1;0,2;9;1;0,0;2;1;0|0;3;1;0,1;8;1;0,2;8;1;0,0;3;1;0",2,1,2
1002,1002,"0;3;1;0,1;3;1;0,0;12;1;0,1;3;1;0,0;3;1;0|0;3;1;0,1;4;1;0,0;10;1;0,1;4;1;0,0;3;1;0|0;3;1;0,1;1;1;0,1;2;1;2,1;2;1;0,0;8;1;0,1;2;1;0,1;2;1;2,1;1;1;0,0;3;1;0|0;3;1;0,1;1;1;0,1;3;1;2,1;2;1;0,0;6;1;0,1;2;1;0,1;3;1;2,1;1;1;0,0;3;1;0|0;4;1;0,1;1;1;0,1;2;1;2,1;2;1;0,0;6;1;0,1;2;1;0,1;2;1;2,1;1;1;0,0;4;1;0|0;5;1;0,1;1;1;0,1;2;1;2,1;2;1;0,0;4;1;0,1;2;1;0,1;2;1;2,1;1;1;0,0;5;1;0|0;6;1;0,1;1;1;0,1;2;1;2,1;1;1;0,0;4;1;0,1;1;1;0,1;2;1;2,1;1;1;0,0;6;1;0|0;7;1;0,1;1;1;0,1;2;1;2,1;1;1;0,0;2;1;0,1;1;1;0,1;2;1;2,1;1;1;0,0;7;1;0|0;8;1;0,1;1;1;0,1;1;1;2,1;4;1;0,1;1;1;2,1;1;1;0,0;8;1;0|0;9;1;0,1;6;1;0,0;9;1;0|0;7;1;0,1;10;1;0,0;7;1;0|0;5;1;0,1;14;1;0,0;5;1;0|0;4;1;0,1;4;1;0,1;2;1;3,1;4;1;0,1;2;1;3,1;4;1;0,0;4;1;0|0;3;1;0,1;5;1;0,1;2;1;3,1;4;1;0,1;2;1;3,1;5;1;0,0;3;1;0|0;3;1;0,1;18;1;0,0;3;1;0|0;3;1;0,1;18;1;0,0;3;1;0|1;7;1;3,1;3;1;0,1;4;1;3,1;3;1;0,1;7;1;3|0;3;1;0,1;8;1;0,1;2;1;3,1;8;1;0,0;3;1;0|0;2;1;0,1;5;1;3,1;2;1;0,1;1;1;3,1;1;1;0,1;2;1;3,1;1;1;0,1;1;1;3,1;2;1;0,1;5;1;3,0;2;1;0|0;6;1;0,1;3;1;0,1;6;1;3,1;3;1;0,0;6;1;0|0;7;1;0,1;10;1;0,0;7;1;0",1,1,2
1003,1003,"0;5;1;0,1;1;1;0,0;10;1;0,1;1;1;0,0;5;1;0|0;4;1;0,1;3;1;0,0;8;1;0,1;3;1;0,0;4;1;0|0;4;1;0,1;1;1;0,1;1;1;2,1;2;1;0,0;6;1;0,1;2;1;0,1;1;1;2,1;1;1;0,0;4;1;0|0;4;1;0,1;1;1;0,1;2;1;2,1;8;1;0,1;2;1;2,1;1;1;0,0;4;1;0|0;3;1;0,1;16;1;0,0;3;1;0|0;3;1;0,1;16;1;0,0;3;1;0|0;3;1;0,1;4;1;0,1;2;1;3,1;4;1;0,1;2;1;3,1;4;1;0,0;3;1;0|0;3;1;0,1;4;1;0,1;2;1;3,1;4;1;0,1;2;1;3,1;4;1;0,0;3;1;0|0;1;1;0,1;4;1;3,1;12;1;0,1;4;1;3,0;1;1;0|0;2;1;0,1;7;1;0,1;4;1;3,1;7;1;0,0;2;1;0|1;5;1;3,1;5;1;0,1;2;1;3,1;5;1;0,1;5;1;3|0;3;1;0,1;7;1;0,1;2;1;3,1;7;1;0,0;3;1;0|0;2;1;0,1;3;1;3,1;3;1;0,1;6;1;3,1;3;1;0,1;3;1;3,0;2;1;0|0;5;1;0,1;12;1;0,0;5;1;0",1,1,2
