目标,口径,最优值,选法,激活套装,同款最多几把,备注
@正收益点数合计,同款可重复,75,粉碎者×6,爆炸6件 + 枪械6件,6,
@正收益点数合计,6 把全不同族,50,冲锋枪、加特林机枪、医疗枪、双管霰弹枪、左轮手枪、手枪,枪械6件,1,
stat_range,同款可重复,50,粉碎者×6,爆炸6件 + 枪械6件,6,
stat_range,6 把全不同族,50,冲锋枪、加特林机枪、医疗枪、双管霰弹枪、左轮手枪、手枪,枪械6件,1,
stat_dodge,同款可重复,30,幽魂斧×6,虚灵6件,6,
stat_dodge,6 把全不同族,18,幽魂斧、幽魂燧石、幽魂节杖、强拳、拳、掌,虚灵3件 + 徒手3件,1,
explosion_size,同款可重复,25,木板×6,元素6件 + 爆炸6件,6,
explosion_size,6 把全不同族,25,强拳、木板、核弹发射器、火箭筒、等离子大锤、粉碎者,爆炸6件 + 元素2件 + 重型2件,1,
stat_harvesting,同款可重复,25,电击枪×6,元素6件 + 辅助6件,6,
stat_harvesting,6 把全不同族,15,修枝剪刀、冲锋枪、刺棍、土豆发射器、掌、电击枪,辅助4件,1,
stat_percent_damage,同款可重复,25,铁锤×6,钝器6件 + 重型6件,6,
stat_percent_damage,6 把全不同族,25,刺棍、加特林机枪、喷火器、核弹发射器、毁灭者、火箭筒,重型6件 + 爆炸2件,1,
stat_max_hp,同款可重复,21,石头×6,钝器6件 + 原始6件,6,
stat_max_hp,6 把全不同族,15,刺棍、弹弓、树枝、火把、矛、短斧,原始6件,1,
stat_crit_chance,同款可重复,15,雷光刀×6,元素6件 + 精准6件,6,
stat_crit_chance,6 把全不同族,15,剪刀、十字弓、小刀、手里剑、狙击手枪、盗贼匕首,精准6件,1,
stat_armor,同款可重复,6,尖刺盾×6,钝器6件 + 中世纪6件,6,
stat_armor,6 把全不同族,3,修枝剪刀、剑、十字弓、尖刺盾、石头、长矛,中世纪4件 + 钝器2件,1,
stat_elemental_damage,同款可重复,5,雷剑×6,利器6件 + 元素6件,6,
stat_elemental_damage,6 把全不同族,5,喷火器、木板、火把、烈焰黄铜指虎、电击枪、等离子大锤,元素6件 + 爆炸2件,1,
stat_engineering,同款可重复,5,螺丝刀×6,工具6件,6,
stat_engineering,6 把全不同族,1,修枝剪刀、冲锋枪、刺棍、剑、扳手、螺丝刀,工具2件,1,
stat_hp_regeneration,同款可重复,5,圆锯×6,利器6件 + 医疗6件,6,
stat_hp_regeneration,6 把全不同族,2,修枝剪刀、冲锋枪、刺棍、剪刀、医疗枪、圆锯,医疗3件 + 枪械2件,1,
stat_lifesteal,同款可重复,5,砍刀×6,利器6件,6,
stat_lifesteal,6 把全不同族,3,修枝剪刀、冲锋枪、剑、圆锯、砍刀、雷剑,利器4件,1,
stat_melee_damage,同款可重复,5,砍刀×6,利器6件,6,
stat_melee_damage,6 把全不同族,3,修枝剪刀、冲锋枪、剑、圆锯、砍刀、雷剑,利器4件,1,
stat_speed,同款可重复,-2,黄铜指虎×4、铁锤×2,钝器2件 + 重型2件,4,负向项：钝器是唯一带 stat_speed 负值的套装
stat_speed,6 把全不同族,-2,修枝剪刀、冲锋枪、刺棍、剑、尖刺盾、石头,钝器2件 + 中世纪2件 + 原始2件,1,负向项：钝器是唯一带 stat_speed 负值的套装
@同时激活最多套装,6 把全不同族,6,加特林机枪、喷火器、强拳、掌、电击枪、粉碎者,元素2件 + 爆炸2件 + 枪械2件 + 重型2件 + 辅助2件 + 徒手2件,1,6 套 ×2 件一共只有 29 点，远不如两套满配的 75 点 —— 广度不如深度
