武器族,中文名,类型,最高档,有几档,套装,套装数,加成属性,最高档伤害,冷却帧,射程,特殊效果,效果吃哪条属性,效果要点,同类协同(共享属性或效果),出处
weapon_cacti_club,刺棍,近战,IV 传奇,4,原始 + 重型,2,stat_melee_damage×0.8,50,45,200,projectiles_on_hit_effect,副弹自己的 scaling,副投射物有独立的 scaling_stats —— 近战武器吃远程/元素属性的后门,修枝剪刀、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/cactus_mace/4/cactus_mace_4_data.tres
weapon_chopper,砍刀,近战,IV 传奇,4,利器,1,stat_melee_damage×0.5 / stat_max_hp×0.2,30,18,180,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、土豆发射器、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/chopper/4/chopper_4_data.tres
weapon_circular_saw,圆锯,近战,IV 传奇,3,利器 + 医疗,2,stat_melee_damage×1.0,25,2,175,,,,修枝剪刀、刺棍、剑、剪刀、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/circular_saw/4/circular_saw_4_data.tres
weapon_crossbow,十字弓,远程,IV 传奇,4,精准 + 中世纪,2,stat_ranged_damage×0.5 / stat_range×0.1,15,50,350,,,,冲锋枪、加特林机枪、医疗枪、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/crossbow/4/crossbow_data_4.tres
weapon_dagger,盗贼匕首,近战,IV 传奇,4,精准,1,stat_melee_damage×0.5,30,10,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/dagger/4/dagger_4_data.tres
weapon_double_barrel_shotgun,双管霰弹枪,远程,IV 传奇,4,枪械,1,stat_ranged_damage×1.0,12,55,350,,,,冲锋枪、加特林机枪、医疗枪、十字弓、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/double_barrel_shotgun/4/double_barrel_shotgun_4_data.tres
weapon_fist,拳,近战,IV 传奇,4,徒手,1,stat_melee_damage×1.0,64,2,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、掌,weapons/melee/fist/4/fist_4_data.tres
weapon_flamethrower,喷火器,远程,IV 传奇,3,元素 + 重型,2,stat_elemental_damage×0.01,1,3,400,burning_effect,stat_elemental_damage,燃烧伤害 = 武器值 + 全局 burn_chance 值 + 元素伤害，再乘 (1+%伤害/100)（weapon_service.gd:148-167）,木板、核弹发射器、火把、烈焰黄铜指虎、电击枪、等离子大锤、雷剑、魔杖,weapons/ranged/flamethrower/4/flamethrower_4_data.tres
weapon_flaming_brass_knuckles,烈焰黄铜指虎,近战,IV 传奇,3,徒手 + 元素,2,stat_melee_damage×1.0,64,2,150,burning_effect,stat_elemental_damage,燃烧伤害 = 武器值 + 全局 burn_chance 值 + 元素伤害，再乘 (1+%伤害/100)（weapon_service.gd:148-167）,修枝剪刀、刺棍、剑、剪刀、喷火器、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/flaming_knuckles/4/flaming_knuckles_4_data.tres
weapon_ghost_axe,幽魂斧,近战,IV 传奇,4,虚灵,1,stat_melee_damage×1.0,40,54,200,gain_stat_every_killed_enemies_effect,击杀数,每杀 N 只永久+某属性，波内叠加，越久越强,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂燧石、幽魂节杖、强拳、手里剑、扳手、拳,weapons/melee/ghost_axe/4/ghost_axe_4_data.tres
