区域,波次,组,出现概率,出现时机秒,重复次数,重复间隔,间隔递减,最小间隔,最低难度,最低波次,中立,Boss,兽潮,沿边缘刷,单位种数
zone_1,001,zones/zone_1/001/group_1.tres,1.0,1,999,3,0,1,0,0,False,False,False,False,1
zone_1,002,zones/zone_1/002/group_1.tres,1.0,1,999,3,0,1,0,0,False,False,False,False,1
zone_1,002,zones/zone_1/002/group_2.tres,1.0,10,999,5,0,1,0,0,False,False,False,True,1
zone_1,003,zones/zone_1/003/group_1.tres,1.0,1,999,3,0,1,0,0,False,False,False,True,1
zone_1,003,zones/zone_1/003/group_2.tres,1.0,10,999,7,1,3,0,0,False,False,False,False,1
zone_1,003,zones/zone_1/003/d1_group_1.tres,1.0,15,-1,3,0,1,1,0,False,False,False,False,1
zone_1,003,zones/zone_1/003/d5_group_1.tres,1.0,10,999,5,0,1,5,0,False,False,False,False,1
zone_1,004,zones/zone_1/004/group_1.tres,1.0,1,999,5,0,1,0,0,False,False,False,False,1
zone_1,004,zones/zone_1/004/group_2.tres,1.0,4,999,3,0,1,0,0,False,False,False,False,1
zone_1,004,zones/zone_1/004/group_3.tres,1.0,25,999,7,0,1,0,0,False,False,False,False,1
zone_1,004,zones/zone_1/004/d1_group_1.tres,1.0,15,-1,3,0,1,1,0,False,False,False,False,1
zone_1,004,zones/zone_1/004/d5_group_1.tres,1.0,3,999,5,1,3,5,0,False,False,False,False,1
zone_1,005,zones/zone_1/005/group_1.tres,1.0,1,999,4,0,4,0,0,False,False,False,True,1
zone_1,005,zones/zone_1/005/group_2.tres,1.0,3,999,5,1,2,0,0,False,False,False,False,1
zone_1,005,zones/zone_1/005/group_3.tres,1.0,25,999,6,0,1,0,0,False,False,False,False,1
zone_1,005,zones/zone_1/005/d1_group_1.tres,1.0,15,999,4,0,1,1,0,False,False,False,True,1
zone_1,005,zones/zone_1/005/d2_group_1.tres,1.0,7,999,8,0,1,2,0,False,False,False,False,1
zone_1,005,zones/zone_1/005/d4_group_1.tres,1.0,15,999,8,0,1,4,0,False,False,False,False,1
zone_1,006,zones/zone_1/006/group_1.tres,1.0,1,999,5,1,3,0,0,False,False,False,True,1
zone_1,006,zones/zone_1/006/group_2.tres,1.0,3,999,3,1,2,0,0,False,False,False,False,1
zone_1,006,zones/zone_1/006/group_3.tres,1.0,25,999,5,1,2,0,0,False,False,False,False,1
zone_1,006,zones/zone_1/006/d1_group_1.tres,1.0,15,999,5,0,5,1,0,False,False,False,True,1
zone_1,006,zones/zone_1/006/d5_group_1.tres,1.0,10,999,8,0,1,5,0,False,False,False,True,1
zone_1,007,zones/zone_1/007/group_1.tres,1.0,1,999,2,0,1,0,0,False,False,False,True,1
zone_1,007,zones/zone_1/007/group_2.tres,1.0,10,999,5,0,1,0,0,False,False,False,False,1
zone_1,007,zones/zone_1/007/group_3.tres,1.0,30,999,5,0,1,0,0,False,False,False,False,1
zone_1,007,zones/zone_1/007/d1_group_1.tres,1.0,1,999,15,0,1,1,0,False,False,False,False,1
zone_1,007,zones/zone_1/007/d5_group_1.tres,1.0,3,999,10,0,1,5,0,False,False,False,False,1
zone_1,008,zones/zone_1/008/group_1.tres,1.0,1,999,8,1,6,0,0,False,False,False,False,1
zone_1,008,zones/zone_1/008/group_2.tres,1.0,2,999,3,1,2,0,0,False,False,False,False,1
zone_1,008,zones/zone_1/008/group_3.tres,1.0,5,999,6,1,1,0,0,False,False,False,False,1
zone_1,008,zones/zone_1/008/d1_group_1.tres,1.0,30,-1,3,0,1,1,0,False,False,False,False,1
zone_1,008,zones/zone_1/008/d3_group_1.tres,1.0,15,999,8,0,1,3,0,False,False,False,False,1
zone_1,009,zones/zone_1/009/group_1.tres,1.0,1,999,2,1,1,0,0,False,False,False,False,1
zone_1,009,zones/zone_1/009/group_2.tres,1.0,10,999,3,0,1,0,0,False,False,False,False,1
zone_1,009,zones/zone_1/009/group_3.tres,1.0,22,999,8,0,1,0,0,False,False,False,True,1
