区域,波次,组,单位,类型,场景,最少,最多,概率
zone_1,001,zones/zone_1/001/group_1.tres,zones/zone_1/001/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},4,5,1.0
zone_1,002,zones/zone_1/002/group_1.tres,zones/zone_1/002/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},3,4,1.0
zone_1,002,zones/zone_1/002/group_2.tres,zones/zone_1/002/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},4,5,1.0
zone_1,003,zones/zone_1/003/group_1.tres,zones/zone_1/003/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},5,6,1.0
zone_1,003,zones/zone_1/003/group_2.tres,zones/zone_1/003/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},3,4,1.0
zone_1,003,zones/zone_1/003/d1_group_1.tres,zones/zone_1/003/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,2,1.0
zone_1,003,zones/zone_1/003/d5_group_1.tres,zones/zone_1/003/d5_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,2,1.0
zone_1,004,zones/zone_1/004/group_1.tres,zones/zone_1/004/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,2,1.0
zone_1,004,zones/zone_1/004/group_2.tres,zones/zone_1/004/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},6,7,1.0
zone_1,004,zones/zone_1/004/group_3.tres,zones/zone_1/004/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,2,1.0
zone_1,004,zones/zone_1/004/d1_group_1.tres,zones/zone_1/004/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/008/8.tscn'},2,2,1.0
zone_1,004,zones/zone_1/004/d5_group_1.tres,zones/zone_1/004/d5_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},2,2,1.0
zone_1,005,zones/zone_1/005/group_1.tres,zones/zone_1/005/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},8,8,1.0
zone_1,005,zones/zone_1/005/group_2.tres,zones/zone_1/005/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},3,4,1.0
zone_1,005,zones/zone_1/005/group_3.tres,zones/zone_1/005/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},1,2,1.0
zone_1,005,zones/zone_1/005/d1_group_1.tres,zones/zone_1/005/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,2,1.0
zone_1,005,zones/zone_1/005/d2_group_1.tres,zones/zone_1/005/d2_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},1,2,1.0
zone_1,005,zones/zone_1/005/d4_group_1.tres,zones/zone_1/005/d4_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},1,1,1.0
zone_1,006,zones/zone_1/006/group_1.tres,zones/zone_1/006/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},4,5,1.0
zone_1,006,zones/zone_1/006/group_2.tres,zones/zone_1/006/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},3,4,1.0
zone_1,006,zones/zone_1/006/group_3.tres,zones/zone_1/006/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},5,6,1.0
zone_1,006,zones/zone_1/006/d1_group_1.tres,zones/zone_1/006/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/008/8.tscn'},2,3,1.0
zone_1,006,zones/zone_1/006/d5_group_1.tres,zones/zone_1/006/d5_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},1,1,1.0
zone_1,007,zones/zone_1/007/group_1.tres,zones/zone_1/007/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},6,7,1.0
zone_1,007,zones/zone_1/007/group_2.tres,zones/zone_1/007/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},6,6,1.0
zone_1,007,zones/zone_1/007/group_3.tres,zones/zone_1/007/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,3,1.0
zone_1,007,zones/zone_1/007/d1_group_1.tres,zones/zone_1/007/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,1,1.0
zone_1,007,zones/zone_1/007/d5_group_1.tres,zones/zone_1/007/d5_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/023/23.tscn'},1,2,1.0
zone_1,008,zones/zone_1/008/group_1.tres,zones/zone_1/008/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},3,3,1.0
zone_1,008,zones/zone_1/008/group_2.tres,zones/zone_1/008/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},1,2,1.0
zone_1,008,zones/zone_1/008/group_3.tres,zones/zone_1/008/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},3,3,1.0
zone_1,008,zones/zone_1/008/d1_group_1.tres,zones/zone_1/008/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,008,zones/zone_1/008/d3_group_1.tres,zones/zone_1/008/d3_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,009,zones/zone_1/009/group_1.tres,zones/zone_1/009/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},6,7,1.0
zone_1,009,zones/zone_1/009/group_2.tres,zones/zone_1/009/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,3,1.0
zone_1,009,zones/zone_1/009/group_3.tres,zones/zone_1/009/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},2,3,1.0
zone_1,009,zones/zone_1/009/d1_group_1.tres,zones/zone_1/009/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},2,3,1.0
zone_1,009,zones/zone_1/009/d4_group_1.tres,zones/zone_1/009/d4_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},3,4,1.0
zone_1,010,zones/zone_1/010/group_1.tres,zones/zone_1/010/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},8,9,1.0
zone_1,010,zones/zone_1/010/group_2.tres,zones/zone_1/010/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},2,3,1.0
zone_1,010,zones/zone_1/010/group_3.tres,zones/zone_1/010/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,2,1.0
zone_1,010,zones/zone_1/010/group_4.tres,zones/zone_1/010/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},4,5,1.0
zone_1,010,zones/zone_1/010/d1_group_1.tres,zones/zone_1/010/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},3,4,1.0
zone_1,010,zones/zone_1/010/d2_group_1.tres,zones/zone_1/010/d2_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},2,2,1.0
zone_1,011,zones/zone_1/011/group_1.tres,zones/zone_1/011/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},2,3,1.0
zone_1,011,zones/zone_1/011/group_2.tres,zones/zone_1/011/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},3,4,1.0
zone_1,011,zones/zone_1/011/group_3.tres,zones/zone_1/011/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},3,3,1.0
zone_1,011,zones/zone_1/011/group_4.tres,zones/zone_1/011/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,3,1.0
zone_1,011,zones/zone_1/011/d1_group_1.tres,zones/zone_1/011/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/008/8.tscn'},3,4,1.0
zone_1,011,zones/zone_1/011/d5_group_1.tres,zones/zone_1/011/d5_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},1,1,1.0
zone_1,012,zones/zone_1/012/group_1.tres,zones/zone_1/012/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/002/2.tscn'},10,10,1.0
