区域,波次,资源,时长秒,场上上限,刷怪组数,刷怪组
zone_1,001,zones/zone_1/001/wave_1.tres,20,100,1,zones/zone_1/001/group_1.tres
zone_1,002,zones/zone_1/002/wave_2.tres,25,100,2,zones/zone_1/002/group_1.tres / zones/zone_1/002/group_2.tres
zone_1,003,zones/zone_1/003/wave_3.tres,30,100,4,zones/zone_1/003/group_1.tres / zones/zone_1/003/group_2.tres / zones/zone_1/003/d1_group_1.tres / zones/zone_1/003/d5_group_1.tres
zone_1,004,zones/zone_1/004/wave_4.tres,35,100,5,zones/zone_1/004/group_1.tres / zones/zone_1/004/group_2.tres / zones/zone_1/004/group_3.tres / zones/zone_1/004/d1_group_1.tres / zones/zone_1/004/d5_group_1.tres
zone_1,005,zones/zone_1/005/wave_5.tres,40,100,6,zones/zone_1/005/group_1.tres / zones/zone_1/005/group_2.tres / zones/zone_1/005/group_3.tres / zones/zone_1/005/d1_group_1.tres / zones/zone_1/005/d2_group_1.tres / zones/zone_1/005/d4_group_1.tres
zone_1,006,zones/zone_1/006/wave_6.tres,45,100,5,zones/zone_1/006/group_1.tres / zones/zone_1/006/group_2.tres / zones/zone_1/006/group_3.tres / zones/zone_1/006/d1_group_1.tres / zones/zone_1/006/d5_group_1.tres
zone_1,007,zones/zone_1/007/wave_7.tres,50,100,5,zones/zone_1/007/group_1.tres / zones/zone_1/007/group_2.tres / zones/zone_1/007/group_3.tres / zones/zone_1/007/d1_group_1.tres / zones/zone_1/007/d5_group_1.tres
zone_1,008,zones/zone_1/008/wave_8.tres,55,100,5,zones/zone_1/008/group_1.tres / zones/zone_1/008/group_2.tres / zones/zone_1/008/group_3.tres / zones/zone_1/008/d1_group_1.tres / zones/zone_1/008/d3_group_1.tres
zone_1,009,zones/zone_1/009/wave_9.tres,60,100,5,zones/zone_1/009/group_1.tres / zones/zone_1/009/group_2.tres / zones/zone_1/009/group_3.tres / zones/zone_1/009/d1_group_1.tres / zones/zone_1/009/d4_group_1.tres
zone_1,010,zones/zone_1/010/wave_10.tres,60,100,6,zones/zone_1/010/group_1.tres / zones/zone_1/010/group_2.tres / zones/zone_1/010/group_3.tres / zones/zone_1/010/group_4.tres / zones/zone_1/010/d1_group_1.tres / zones/zone_1/010/d2_group_1.tres
zone_1,011,zones/zone_1/011/wave_11.tres,60,100,6,zones/zone_1/011/group_1.tres / zones/zone_1/011/group_2.tres / zones/zone_1/011/group_3.tres / zones/zone_1/011/group_4.tres / zones/zone_1/011/d1_group_1.tres / zones/zone_1/011/d5_group_1.tres
zone_1,012,zones/zone_1/012/wave_12.tres,60,100,7,zones/zone_1/012/group_1.tres / zones/zone_1/012/group_2.tres / zones/zone_1/012/group_3.tres / zones/zone_1/012/group_4.tres / zones/zone_1/012/group_5.tres / zones/zone_1/012/d1_group_1.tres / zones/zone_1/012/d2_group_1.tres
zone_1,013,zones/zone_1/013/wave_13.tres,60,100,6,zones/zone_1/013/group_1.tres / zones/zone_1/013/group_2.tres / zones/zone_1/013/group_3.tres / zones/zone_1/013/group_4.tres / zones/zone_1/013/d1_group_1.tres / zones/zone_1/013/d3_group_1.tres
zone_1,014,zones/zone_1/014/wave_14.tres,60,100,7,zones/zone_1/014/group_1.tres / zones/zone_1/014/group_2.tres / zones/zone_1/014/group_3.tres / zones/zone_1/014/group_4.tres / zones/zone_1/014/group_5.tres / zones/zone_1/014/d1_group_1.tres / zones/zone_1/014/d4_group_1.tres
zone_1,015,zones/zone_1/015/wave_15.tres,60,100,8,zones/zone_1/015/group_1.tres / zones/zone_1/015/group_2.tres / zones/zone_1/015/group_3.tres / zones/zone_1/015/group_4.tres / zones/zone_1/015/group_5.tres / zones/zone_1/015/group_6.tres / zones/zone_1/015/d1_group_1.tres / zones/zone_1/015/d4_group_1.tres
zone_1,016,zones/zone_1/016/wave_16.tres,60,100,6,zones/zone_1/016/group_1.tres / zones/zone_1/016/group_2.tres / zones/zone_1/016/group_3.tres / zones/zone_1/016/group_4.tres / zones/zone_1/016/d1_group_1.tres / zones/zone_1/016/d2_group_1.tres
zone_1,017,zones/zone_1/017/wave_17.tres,60,100,7,zones/zone_1/017/group_1.tres / zones/zone_1/017/group_2.tres / zones/zone_1/017/group_3.tres / zones/zone_1/017/group_4.tres / zones/zone_1/017/d1_group_1.tres / zones/zone_1/017/group_3b.tres / zones/zone_1/017/group_5.tres
zone_1,018,zones/zone_1/018/wave_18.tres,60,100,9,zones/zone_1/018/group_1.tres / zones/zone_1/018/group_2.tres / zones/zone_1/018/group_3.tres / zones/zone_1/018/group_4.tres / zones/zone_1/018/group_5.tres / zones/zone_1/018/group_6.tres / zones/zone_1/018/d1_group_1.tres / zones/zone_1/018/group_7.tres / zones/zone_1/018/d4_group_1.tres
zone_1,019,zones/zone_1/019/wave_19.tres,60,100,9,zones/zone_1/019/group_1.tres / zones/zone_1/019/group_2.tres / zones/zone_1/019/group_3.tres / zones/zone_1/019/group_4.tres / zones/zone_1/019/group_5.tres / zones/zone_1/019/group_6.tres / zones/zone_1/019/d1_group_1.tres / zones/zone_1/019/group_7.tres / zones/zone_1/019/d2_group_1.tres
